Method:,Column 1,,
Host Date-Time:,17/12/20 @ 10:54:46,,
Header Version:,1,,
System Temp hundredths:,2929,,
Detector Temp hundredths:,2457,,
Humidity hundredths:,1470,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1368.347147,0.471474,504705.000000,170437.000000
1371.693417,0.474109,502623.000000,168707.000000
1375.035335,0.471883,499288.000000,168449.000000
1378.372901,0.468110,496007.000000,168802.000000
1381.706114,0.461848,493126.000000,170259.000000
1385.034974,0.458078,489992.000000,170652.000000
1388.359481,0.457189,487730.000000,170212.000000
1391.679637,0.459015,486234.000000,168978.000000
1396.099739,0.467134,485318.000000,165536.000000
1399.409738,0.475096,485002.000000,162423.000000
1402.715385,0.485216,484535.000000,158529.000000
1406.016679,0.497803,484521.000000,153996.000000
1409.313620,0.512032,485069.000000,149201.000000
1412.606208,0.531897,485477.000000,142650.000000
1415.894445,0.552564,485710.000000,136086.000000
1419.178328,0.578099,486186.000000,128441.000000
1422.457859,0.607756,487691.000000,120334.000000
1426.823796,0.653994,489071.000000,108487.000000
1430.093171,0.693836,490374.000000,99241.000000
1433.358193,0.734064,491971.000000,90756.000000
1436.618863,0.774394,493431.000000,82953.000000
1439.875180,0.805586,495220.000000,77484.000000
1443.127144,0.830812,496699.000000,73330.000000
1446.374756,0.853596,498105.000000,69779.000000
1449.618016,0.875237,499484.000000,66571.000000
1453.935591,0.907476,501051.000000,62002.000000
1457.168694,0.933030,501839.000000,58551.000000
1460.397445,0.949034,502305.000000,56485.000000
1463.621843,0.960192,502914.000000,55119.000000
1466.841888,0.954980,502990.000000,55793.000000
1470.057581,0.938609,502944.000000,57931.000000
1473.268921,0.925473,502843.000000,59698.000000
1476.475909,0.912499,502522.000000,61469.000000
1479.678544,0.907041,501687.000000,62143.000000
1483.941954,0.902251,500616.000000,62698.000000
1487.134433,0.897659,499704.000000,63249.000000
1490.322559,0.901613,498255.000000,62494.000000
1493.506333,0.900208,496773.000000,62510.000000
1496.685754,0.898704,495016.000000,62505.000000
1499.860823,0.897809,492977.000000,62376.000000
1503.031539,0.899466,491156.000000,61909.000000
1506.197903,0.897720,489004.000000,61886.000000
1509.359914,0.893934,486639.000000,62126.000000
1513.569158,0.891143,482899.000000,62046.000000
1516.721012,0.888565,479678.000000,61999.000000
1519.868515,0.883993,476890.000000,62291.000000
1523.011664,0.877183,473405.000000,62813.000000
1526.150462,0.871662,470037.000000,63164.000000
1529.284906,0.870278,466420.000000,62878.000000
1532.414998,0.861755,462360.000000,63566.000000
1535.540737,0.859504,457987.000000,63292.000000
1538.662124,0.855379,453227.000000,63232.000000
1542.817202,0.852417,447406.000000,62847.000000
1545.928433,0.845931,442064.000000,63031.000000
1549.035311,0.835745,436619.000000,63732.000000
1552.137837,0.833540,431327.000000,63280.000000
1555.236010,0.828625,425604.000000,63151.000000
1558.329830,0.829722,419782.000000,62130.000000
1561.419298,0.828823,413789.000000,61370.000000
1564.504413,0.829116,407625.000000,60415.000000
1567.585176,0.834150,401258.000000,58786.000000
1571.686088,0.830989,392494.000000,57922.000000
1574.756695,0.832062,386060.000000,56832.000000
1577.822949,0.831725,379068.000000,55846.000000
1580.884850,0.823874,372237.000000,55840.000000
1583.942399,0.818062,365532.000000,55573.000000
1586.995595,0.809878,358457.000000,55534.000000
1590.044439,0.798172,351337.000000,55918.000000
1593.088930,0.792330,343946.000000,55483.000000
1596.129068,0.784664,337142.000000,55354.000000
1600.175815,0.779803,327373.000000,54355.000000
1603.205798,0.771796,320074.000000,54132.000000
1606.231427,0.768484,312860.000000,53317.000000
1609.252704,0.763129,305444.000000,52699.000000
1612.269629,0.760674,298028.000000,51711.000000
1615.282201,0.757241,290981.000000,50889.000000
1618.290420,0.756305,283873.000000,49753.000000
1621.294287,0.750502,276705.000000,49149.000000
1624.293801,0.746647,269751.000000,48341.000000
1628.286383,0.740342,260451.000000,47357.000000
1631.275741,0.738572,253416.000000,46266.000000
1634.260747,0.733184,246537.000000,45572.000000
1637.241400,0.730010,239613.000000,44617.000000
