Method:,Column 1,,
Host Date-Time:,10/12/20 @ 15:8:30,,
Header Version:,1,,
System Temp hundredths:,3308,,
Detector Temp hundredths:,2998,,
Humidity hundredths:,460,,
Lamp PD:,3651,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.130088,91207.000000,67599.000000
905.391135,0.126213,100140.000000,74885.000000
909.293086,0.125633,108241.000000,81051.000000
913.190685,0.127448,116884.000000,87158.000000
917.083931,0.130291,127518.000000,94467.000000
920.972825,0.132110,140036.000000,103307.000000
926.151245,0.134317,160442.000000,117761.000000
930.029983,0.132992,176924.000000,130255.000000
933.904368,0.129279,192482.000000,142926.000000
937.774400,0.123596,207019.000000,155745.000000
941.640080,0.118993,220214.000000,167437.000000
945.501407,0.116391,231781.000000,177291.000000
949.358382,0.112522,242385.000000,187061.000000
953.211004,0.110790,252506.000000,195651.000000
957.059273,0.110376,262404.000000,203514.000000
962.183529,0.109264,275634.000000,214323.000000
966.021642,0.108749,285310.000000,222110.000000
969.855403,0.108682,294814.000000,229544.000000
973.684811,0.108726,303951.000000,236634.000000
977.509867,0.109843,312634.000000,242769.000000
981.330570,0.110217,320588.000000,248731.000000
985.146920,0.110164,327227.000000,253913.000000
988.958918,0.110991,332863.000000,257795.000000
992.766563,0.110230,337748.000000,262037.000000
997.836653,0.110309,342296.000000,265517.000000
1001.634142,0.111468,344897.000000,266822.000000
1005.427279,0.111547,346533.000000,268039.000000
1009.216063,0.111452,347364.000000,268740.000000
1013.000494,0.112078,347610.000000,268543.000000
1016.780573,0.112323,347104.000000,268001.000000
1020.556299,0.113016,346356.000000,266997.000000
1024.327673,0.112133,345314.000000,266736.000000
1028.094694,0.112331,344068.000000,265652.000000
1033.110618,0.112478,342670.000000,264483.000000
1036.867483,0.111244,341443.000000,264286.000000
1040.619996,0.111161,340565.000000,263657.000000
1044.368155,0.110490,339602.000000,263318.000000
1048.111963,0.110954,339187.000000,262715.000000
1051.851417,0.109281,338370.000000,263094.000000
1055.586519,0.109213,337732.000000,262639.000000
1059.317269,0.108943,337270.000000,262443.000000
1063.043666,0.107717,337131.000000,263076.000000
1068.005424,0.108514,337198.000000,262646.000000
1071.721665,0.108087,337936.000000,263480.000000
1075.433553,0.108144,338814.000000,264130.000000
1079.141089,0.107878,339835.000000,265088.000000
1082.844272,0.107468,341087.000000,266316.000000
1086.543103,0.106936,342595.000000,267821.000000
1090.237580,0.106926,344242.000000,269115.000000
1093.927706,0.106878,346318.000000,270768.000000
1097.613478,0.105975,348067.000000,272702.000000
1102.521071,0.106685,350874.000000,274452.000000
1106.196688,0.105242,352530.000000,276665.000000
1109.867952,0.104970,354393.000000,278301.000000
1113.534864,0.103975,356181.000000,280347.000000
1117.197422,0.103189,357783.000000,282118.000000
1120.855629,0.102596,359117.000000,283557.000000
1124.509482,0.102997,360790.000000,284615.000000
1128.158984,0.102557,361832.000000,285726.000000
1131.804132,0.103527,363284.000000,286233.000000
1136.657559,0.104044,364834.000000,287112.000000
1140.292552,0.105623,365983.000000,286971.000000
1143.923192,0.106930,367533.000000,287320.000000
1147.549479,0.108640,368590.000000,287014.000000
1151.171414,0.109274,369591.000000,287374.000000
1154.788996,0.111636,370608.000000,286602.000000
1158.402225,0.113241,371792.000000,286457.000000
1162.011102,0.115238,373034.000000,286095.000000
1165.615627,0.117275,374075.000000,285551.000000
1170.414889,0.120200,375979.000000,285078.000000
1174.009257,0.123962,377809.000000,283995.000000
1177.599273,0.127394,379926.000000,283338.000000
1181.184936,0.130346,382215.000000,283114.000000
1184.766246,0.133613,385401.000000,283335.000000
1188.343204,0.137565,388776.000000,283227.000000
1191.915809,0.142533,392428.000000,282636.000000
1195.484062,0.145331,395791.000000,283227.000000
1199.047962,0.147827,399382.000000,284159.000000
1203.793059,0.150904,405070.000000,286171.000000
1207.346803,0.151091,409052.000000,288860.000000
1210.896194,0.149745,412904.000000,292485.000000
1214.441233,0.147368,416885.000000,296926.000000
1217.981920,0.144430,421320.000000,302122.000000
1221.518253,0.141899,425284.000000,306747.000000
1225.050234,0.139007,429183.000000,311627.000000
1228.577863,0.137096,433814.000000,316379.000000
1232.101139,0.136733,438565.000000,320111.000000
1236.792070,0.135430,444300.000000,325272.000000
1240.305190,0.135372,448060.000000,328068.000000
1243.813957,0.136012,452297.000000,330683.000000
1247.318372,0.136843,455893.000000,332675.000000
1250.818434,0.136556,459082.000000,335223.000000
1254.314143,0.137073,462510.000000,337325.000000
1257.805500,0.137520,466532.000000,339908.000000
1261.292505,0.138276,470752.000000,342386.000000
1264.775157,0.139106,474874.000000,344725.000000
1269.411922,0.138967,480696.000000,349063.000000
1272.884417,0.139345,486062.000000,352652.000000
1276.352561,0.138344,490790.000000,356904.000000
1279.816351,0.137291,494557.000000,360517.000000
1283.275789,0.137625,498768.000000,363307.000000
1286.730874,0.136856,502917.000000,366978.000000
1290.181607,0.136241,506587.000000,370180.000000
1293.627987,0.135301,509239.000000,372924.000000
1297.070015,0.134291,511855.000000,375713.000000
1301.652615,0.133762,515095.000000,378552.000000
1305.084486,0.132841,516531.000000,380413.000000
1308.512005,0.132841,517299.000000,380979.000000
1311.935171,0.132143,518312.000000,382339.000000
1315.353985,0.132253,518822.000000,382618.000000
1318.768446,0.131890,518589.000000,382766.000000
1322.178555,0.131695,518088.000000,382568.000000
1325.584311,0.131787,517825.000000,382293.000000
1328.985715,0.132357,517743.000000,381731.000000
1333.514148,0.132970,517179.000000,380777.000000
1336.905396,0.133870,516086.000000,379186.000000
1340.292291,0.134716,515807.000000,378243.000000
1343.674833,0.136630,515261.000000,376181.000000
1347.053022,0.138362,514494.000000,374126.000000
1350.426860,0.141175,513196.000000,370773.000000
1353.796344,0.143761,511820.000000,367584.000000
1357.161476,0.146753,510453.000000,364085.000000
1360.522255,0.150423,508989.000000,359986.000000
1364.996523,0.154501,506578.000000,354932.000000
1368.347147,0.156878,504705.000000,351690.000000
1371.693417,0.159143,502623.000000,348417.000000
1375.035335,0.160078,499288.000000,345361.000000
1378.372901,0.161363,496007.000000,342078.000000
1381.706114,0.163050,493126.000000,338772.000000
1385.034974,0.164583,489992.000000,335433.000000
1388.359481,0.166690,487730.000000,332269.000000
1391.679637,0.169371,486234.000000,329211.000000
1396.099739,0.173118,485318.000000,325768.000000
1399.409738,0.176526,485002.000000,323011.000000
1402.715385,0.180090,484535.000000,320063.000000
1406.016679,0.183346,484521.000000,317663.000000
1409.313620,0.187416,485069.000000,315056.000000
1412.606208,0.192525,485477.000000,311633.000000
1415.894445,0.199583,485710.000000,306757.000000
1419.178328,0.206501,486186.000000,302205.000000
1422.457859,0.215169,487691.000000,297150.000000
1426.823796,0.226898,489071.000000,290051.000000
1430.093171,0.236128,490374.000000,284708.000000
1433.358193,0.246958,491971.000000,278600.000000
1436.618863,0.255661,493431.000000,273883.000000
1439.875180,0.264014,495220.000000,269640.000000
1443.127144,0.272009,496699.000000,265512.000000
1446.374756,0.278190,498105.000000,262501.000000
1449.618016,0.284396,499484.000000,259493.000000
1453.935591,0.294244,501051.000000,254471.000000
1457.168694,0.302388,501839.000000,250136.000000
1460.397445,0.309500,502305.000000,246302.000000
1463.621843,0.318188,502914.000000,241716.000000
1466.841888,0.324581,502990.000000,238220.000000
1470.057581,0.331262,502944.000000,234562.000000
1473.268921,0.338057,502843.000000,230874.000000
1476.475909,0.342798,502522.000000,228222.000000
1479.678544,0.347352,501687.000000,225466.000000
1483.941954,0.353297,500616.000000,221926.000000
1487.134433,0.357549,499704.000000,219363.000000
1490.322559,0.361643,498255.000000,216675.000000
1493.506333,0.365270,496773.000000,214234.000000
1496.685754,0.369280,495016.000000,211514.000000
1499.860823,0.371466,492977.000000,209585.000000
1503.031539,0.375335,491156.000000,206959.000000
1506.197903,0.378415,489004.000000,204596.000000
1509.359914,0.381954,486639.000000,201954.000000
1513.569158,0.386347,482899.000000,198385.000000
1516.721012,0.388131,479678.000000,196254.000000
1519.868515,0.390080,476890.000000,194240.000000
1523.011664,0.391208,473405.000000,192320.000000
1526.150462,0.393847,470037.000000,189795.000000
1529.284906,0.394804,466420.000000,187920.000000
1532.414998,0.396044,462360.000000,185753.000000
1535.540737,0.396969,457987.000000,183605.000000
1538.662124,0.397482,453227.000000,181482.000000
1542.817202,0.398113,447406.000000,178891.000000
1545.928433,0.398920,442064.000000,176427.000000
1549.035311,0.399858,436619.000000,173878.000000
1552.137837,0.402517,431327.000000,170722.000000
1555.236010,0.403580,425604.000000,168045.000000
1558.329830,0.406766,419782.000000,164535.000000
1561.419298,0.407897,413789.000000,161764.000000
1564.504413,0.411307,407625.000000,158108.000000
1567.585176,0.412622,401258.000000,155168.000000
1571.686088,0.417664,392494.000000,150027.000000
1574.756695,0.418756,386060.000000,147197.000000
1577.822949,0.418729,379068.000000,144540.000000
1580.884850,0.421600,372237.000000,141000.000000
1583.942399,0.420758,365532.000000,138729.000000
1586.995595,0.419957,358457.000000,136295.000000
1590.044439,0.419135,351337.000000,133841.000000
1593.088930,0.417779,343946.000000,131435.000000
1596.129068,0.416984,337142.000000,129071.000000
1600.175815,0.413206,327373.000000,126426.000000
1603.205798,0.410811,320074.000000,124291.000000
1606.231427,0.408987,312860.000000,122001.000000
1609.252704,0.405812,305444.000000,119983.000000
1612.269629,0.401074,298028.000000,118354.000000
1615.282201,0.396939,290981.000000,116661.000000
1618.290420,0.393436,283873.000000,114733.000000
1621.294287,0.388939,276705.000000,113000.000000
1624.293801,0.384741,269751.000000,111230.000000
1628.286383,0.379425,260451.000000,108718.000000
1631.275741,0.375051,253416.000000,106852.000000
1634.260747,0.372334,246537.000000,104604.000000
1637.241400,0.367112,239613.000000,102896.000000
1640.217700,0.363591,232837.000000,100800.000000
1643.189648,0.359836,225975.000000,98679.000000
1646.157243,0.356705,219107.000000,96372.000000
1649.120486,0.352148,211528.000000,94020.000000
1652.079376,0.345306,203786.000000,92017.000000
1656.017792,0.337132,192538.000000,88590.000000
1658.966526,0.328871,183108.000000,85869.000000
1661.910907,0.318286,172102.000000,82699.000000
1664.850936,0.306509,159840.000000,78918.000000
1667.786612,0.290303,145318.000000,74476.000000
1670.717936,0.266605,129601.000000,70146.000000
1673.644907,0.246959,113097.000000,64046.000000
1676.567525,0.222326,96798.000000,58015.000000
1679.485791,0.207227,82152.000000,50979.000000
1683.370042,0.200576,65700.000000,41399.000000
1686.278151,0.199157,55737.000000,35236.000000
1689.181909,0.201259,47483.000000,29873.000000
1692.081313,0.212924,40873.000000,25033.000000
1694.976365,0.206274,35375.000000,22000.000000
1697.867065,0.221533,30676.000000,18419.000000
1700.753412,0.217718,26860.000000,16270.000000
