Method:,Column 1,,
Host Date-Time:,10/12/20 @ 14:47:10,,
Header Version:,1,,
System Temp hundredths:,3112,,
Detector Temp hundredths:,2700,,
Humidity hundredths:,654,,
Lamp PD:,3655,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.117750,91207.000000,69547.000000
905.391135,0.111121,100140.000000,77533.000000
909.293086,0.105418,108241.000000,84913.000000
913.190685,0.108256,116884.000000,91096.000000
917.083931,0.108727,127518.000000,99276.000000
920.972825,0.109100,140036.000000,108928.000000
926.151245,0.109765,160442.000000,124610.000000
930.029983,0.108711,176924.000000,137745.000000
933.904368,0.103551,192482.000000,151649.000000
937.774400,0.100439,207019.000000,164275.000000
941.640080,0.096605,220214.000000,176295.000000
945.501407,0.093211,231781.000000,187011.000000
949.358382,0.089610,242385.000000,197195.000000
953.211004,0.089363,252506.000000,205546.000000
957.059273,0.088386,262404.000000,214084.000000
962.183529,0.087624,275634.000000,225273.000000
966.021642,0.085689,285310.000000,234222.000000
969.855403,0.083922,294814.000000,243011.000000
973.684811,0.084135,303951.000000,250420.000000
977.509867,0.083711,312634.000000,257825.000000
981.330570,0.083011,320588.000000,264811.000000
985.146920,0.081877,327227.000000,271002.000000
988.958918,0.081333,332863.000000,276015.000000
992.766563,0.080734,337748.000000,280452.000000
997.836653,0.080081,342296.000000,284656.000000
1001.634142,0.078996,344897.000000,287537.000000
1005.427279,0.077333,346533.000000,290009.000000
1009.216063,0.076285,347364.000000,291407.000000
1013.000494,0.075112,347610.000000,292402.000000
1016.780573,0.073773,347104.000000,292878.000000
1020.556299,0.072225,346356.000000,293290.000000
1024.327673,0.071953,345314.000000,292591.000000
1028.094694,0.071769,344068.000000,291659.000000
1033.110618,0.072327,342670.000000,290101.000000
1036.867483,0.070320,341443.000000,290401.000000
1040.619996,0.070055,340565.000000,289831.000000
1044.368155,0.069230,339602.000000,289561.000000
1048.111963,0.069327,339187.000000,289143.000000
1051.851417,0.068514,338370.000000,288987.000000
1055.586519,0.068014,337732.000000,288774.000000
1059.317269,0.068151,337270.000000,288288.000000
1063.043666,0.067233,337131.000000,288779.000000
1068.005424,0.068286,337198.000000,288137.000000
1071.721665,0.068128,337936.000000,288873.000000
1075.433553,0.068308,338814.000000,289503.000000
1079.141089,0.069792,339835.000000,289385.000000
1082.844272,0.069785,341087.000000,290456.000000
1086.543103,0.070558,342595.000000,291221.000000
1090.237580,0.071795,344242.000000,291789.000000
1093.927706,0.073204,346318.000000,292598.000000
1097.613478,0.075877,348067.000000,292271.000000
1102.521071,0.080416,350874.000000,291565.000000
1106.196688,0.083476,352530.000000,290884.000000
1109.867952,0.087396,354393.000000,289794.000000
1113.534864,0.090012,356181.000000,289507.000000
1117.197422,0.092581,357783.000000,289094.000000
1120.855629,0.094397,359117.000000,288961.000000
1124.509482,0.095096,360790.000000,289840.000000
1128.158984,0.095646,361832.000000,290309.000000
1131.804132,0.097039,363284.000000,290541.000000
1136.657559,0.098937,364834.000000,290508.000000
1140.292552,0.100194,365983.000000,290581.000000
1143.923192,0.101369,367533.000000,291023.000000
1147.549479,0.102763,368590.000000,290925.000000
1151.171414,0.104409,369591.000000,290611.000000
1154.788996,0.104767,370608.000000,291171.000000
1158.402225,0.105186,371792.000000,291819.000000
1162.011102,0.106267,373034.000000,292066.000000
1165.615627,0.105070,374075.000000,293690.000000
1170.414889,0.103181,375979.000000,296471.000000
1174.009257,0.099530,377809.000000,300429.000000
1177.599273,0.095882,379926.000000,304661.000000
1181.184936,0.091388,382215.000000,309685.000000
1184.766246,0.087116,385401.000000,315353.000000
1188.343204,0.083312,388776.000000,320913.000000
1191.915809,0.080352,392428.000000,326143.000000
1195.484062,0.078935,395791.000000,330013.000000
1199.047962,0.077120,399382.000000,334402.000000
1203.793059,0.076012,405070.000000,340031.000000
1207.346803,0.074809,409052.000000,344326.000000
1210.896194,0.074533,412904.000000,347789.000000
