Method:,Column 1,,
Host Date-Time:,10/12/20 @ 14:54:9,,
Header Version:,1,,
System Temp hundredths:,3304,,
Detector Temp hundredths:,2915,,
Humidity hundredths:,460,,
Lamp PD:,3651,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.157508,91207.000000,63463.000000
905.391135,0.152825,100140.000000,70434.000000
909.293086,0.153824,108241.000000,75957.000000
913.190685,0.153952,116884.000000,81998.000000
917.083931,0.158746,127518.000000,88476.000000
920.972825,0.158605,140036.000000,97193.000000
926.151245,0.160179,160442.000000,110953.000000
930.029983,0.160186,176924.000000,122349.000000
933.904368,0.151833,192482.000000,135693.000000
937.774400,0.147855,207019.000000,147284.000000
941.640080,0.144920,220214.000000,157734.000000
945.501407,0.138666,231781.000000,168427.000000
949.358382,0.137021,242385.000000,176801.000000
953.211004,0.134842,252506.000000,185110.000000
957.059273,0.133292,262404.000000,193054.000000
962.183529,0.131581,275634.000000,203588.000000
966.021642,0.129231,285310.000000,211878.000000
969.855403,0.128412,294814.000000,219349.000000
973.684811,0.127513,303951.000000,226616.000000
977.509867,0.126982,312634.000000,233375.000000
981.330570,0.126446,320588.000000,239608.000000
985.146920,0.126577,327227.000000,244496.000000
988.958918,0.127730,332863.000000,248048.000000
992.766563,0.127346,337748.000000,251911.000000
997.836653,0.128559,342296.000000,254591.000000
1001.634142,0.129909,344897.000000,255729.000000
1005.427279,0.130188,346533.000000,256777.000000
1009.216063,0.130918,347364.000000,256961.000000
1013.000494,0.131445,347610.000000,256831.000000
1016.780573,0.132532,347104.000000,255816.000000
1020.556299,0.132567,346356.000000,255244.000000
