Method:,Column 1,,
Host Date-Time:,10/12/20 @ 14:50:20,,
Header Version:,1,,
System Temp hundredths:,3218,,
Detector Temp hundredths:,2815,,
Humidity hundredths:,547,,
Lamp PD:,3653,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.136098,91207.000000,66670.000000
905.391135,0.130696,100140.000000,74116.000000
909.293086,0.127292,108241.000000,80742.000000
913.190685,0.127622,116884.000000,87123.000000
917.083931,0.127396,127518.000000,95099.000000
920.972825,0.130247,140036.000000,103751.000000
926.151245,0.130005,160442.000000,118936.000000
930.029983,0.127522,176924.000000,131906.000000
933.904368,0.122929,192482.000000,145031.000000
937.774400,0.121721,207019.000000,156419.000000
941.640080,0.116294,220214.000000,168481.000000
945.501407,0.113367,231781.000000,178530.000000
949.358382,0.109727,242385.000000,188269.000000
953.211004,0.108494,252506.000000,196688.000000
957.059273,0.107240,262404.000000,204989.000000
962.183529,0.105555,275634.000000,216161.000000
966.021642,0.103998,285310.000000,224553.000000
969.855403,0.103303,294814.000000,232405.000000
973.684811,0.102632,303951.000000,239978.000000
977.509867,0.101865,312634.000000,247270.000000
981.330570,0.101584,320588.000000,253725.000000
985.146920,0.101326,327227.000000,259133.000000
988.958918,0.101034,332863.000000,263774.000000
992.766563,0.101730,337748.000000,267216.000000
997.836653,0.102673,342296.000000,270227.000000
1001.634142,0.103287,344897.000000,271896.000000
1005.427279,0.103293,346533.000000,273182.000000
1009.216063,0.103424,347364.000000,273754.000000
1013.000494,0.101526,347610.000000,275148.000000
1016.780573,0.098900,347104.000000,276414.000000
1020.556299,0.096438,346356.000000,277386.000000
1024.327673,0.094030,345314.000000,278089.000000
1028.094694,0.092640,344068.000000,277974.000000
1033.110618,0.091136,342670.000000,277805.000000
1036.867483,0.090007,341443.000000,277531.000000
1040.619996,0.088651,340565.000000,277683.000000
1044.368155,0.088017,339602.000000,277302.000000
1048.111963,0.088717,339187.000000,276517.000000
1051.851417,0.089215,338370.000000,275535.000000
1055.586519,0.089584,337732.000000,274782.000000
1059.317269,0.088673,337270.000000,274982.000000
1063.043666,0.089252,337131.000000,274503.000000
1068.005424,0.090337,337198.000000,273872.000000
1071.721665,0.091896,337936.000000,273488.000000
1075.433553,0.092190,338814.000000,274013.000000
1079.141089,0.093573,339835.000000,273965.000000
1082.844272,0.093460,341087.000000,275046.000000
1086.543103,0.094927,342595.000000,275330.000000
1090.237580,0.094557,344242.000000,276890.000000
1093.927706,0.096588,346318.000000,277260.000000
1097.613478,0.097721,348067.000000,277934.000000
1102.521071,0.100381,350874.000000,278465.000000
1106.196688,0.102556,352530.000000,278381.000000
1109.867952,0.104796,354393.000000,278413.000000
1113.534864,0.107601,356181.000000,278016.000000
1117.197422,0.108860,357783.000000,278458.000000
1120.855629,0.109660,359117.000000,278982.000000
1124.509482,0.110328,360790.000000,279851.000000
1128.158984,0.109652,361832.000000,281096.000000
1131.804132,0.111733,363284.000000,280875.000000
1136.657559,0.112941,364834.000000,281290.000000
1140.292552,0.114426,365983.000000,281213.000000
1143.923192,0.116823,367533.000000,280849.000000
1147.549479,0.117779,368590.000000,281038.000000
1151.171414,0.119434,369591.000000,280729.000000
1154.788996,0.121241,370608.000000,280333.000000
1158.402225,0.122420,371792.000000,280466.000000
1162.011102,0.122636,373034.000000,281263.000000
1165.615627,0.121094,374075.000000,283051.000000
1170.414889,0.117831,375979.000000,286637.000000
1174.009257,0.114925,377809.000000,289966.000000
1177.599273,0.112332,379926.000000,293337.000000
1181.184936,0.110257,382215.000000,296518.000000
1184.766246,0.107444,385401.000000,300932.000000
1188.343204,0.104407,388776.000000,305698.000000
1191.915809,0.102917,392428.000000,309630.000000
1195.484062,0.099931,395791.000000,314438.000000
1199.047962,0.098600,399382.000000,318265.000000
1203.793059,0.097508,405070.000000,323610.000000
1207.346803,0.096574,409052.000000,327495.000000
1210.896194,0.096421,412904.000000,330695.000000
1214.441233,0.096317,416885.000000,333964.000000
1217.981920,0.096725,421320.000000,337200.000000
1221.518253,0.097291,425284.000000,339929.000000
1225.050234,0.097693,429183.000000,342728.000000
1228.577863,0.099802,433814.000000,344748.000000
1232.101139,0.100687,438565.000000,347814.000000
1236.792070,0.102468,444300.000000,350920.000000
1240.305190,0.102828,448060.000000,353597.000000
1243.813957,0.103315,452297.000000,356540.000000
1247.318372,0.102962,455893.000000,359667.000000
1250.818434,0.102588,459082.000000,362495.000000
1254.314143,0.102130,462510.000000,365587.000000
1257.805500,0.101993,466532.000000,368883.000000
1261.292505,0.102022,470752.000000,372195.000000
1264.775157,0.102554,474874.000000,374994.000000
1269.411922,0.102699,480696.000000,379465.000000
1272.884417,0.103423,486062.000000,383062.000000
1276.352561,0.102960,490790.000000,387200.000000
1279.816351,0.103440,494557.000000,389741.000000
1283.275789,0.103728,498768.000000,392799.000000
1286.730874,0.104005,502917.000000,395814.000000
1290.181607,0.104133,506587.000000,398585.000000
1293.627987,0.104823,509239.000000,400036.000000
1297.070015,0.105597,511855.000000,401375.000000
1301.652615,0.105931,515095.000000,403605.000000
1305.084486,0.107074,516531.000000,403666.000000
1308.512005,0.108235,517299.000000,403187.000000
1311.935171,0.109755,518312.000000,402565.000000
1315.353985,0.110990,518822.000000,401817.000000
1318.768446,0.112386,518589.000000,400348.000000
1322.178555,0.114494,518088.000000,398024.000000
1325.584311,0.116649,517825.000000,395853.000000
