Method:,Column 1,,
Host Date-Time:,10/12/20 @ 14:44:47,,
Header Version:,1,,
System Temp hundredths:,2974,,
Detector Temp hundredths:,2631,,
Humidity hundredths:,759,,
Lamp PD:,3657,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.136306,91207.000000,66638.000000
905.391135,0.132263,100140.000000,73849.000000
909.293086,0.132128,108241.000000,79848.000000
913.190685,0.132112,116884.000000,86227.000000
917.083931,0.135141,127518.000000,93418.000000
920.972825,0.133424,140036.000000,102995.000000
926.151245,0.135924,160442.000000,117326.000000
930.029983,0.132020,176924.000000,130547.000000
933.904368,0.128062,192482.000000,143327.000000
937.774400,0.123005,207019.000000,155957.000000
941.640080,0.118923,220214.000000,167464.000000
945.501407,0.115381,231781.000000,177704.000000
949.358382,0.112685,242385.000000,186991.000000
953.211004,0.111879,252506.000000,195161.000000
957.059273,0.110491,262404.000000,203460.000000
962.183529,0.107523,275634.000000,215184.000000
966.021642,0.106417,285310.000000,223306.000000
969.855403,0.106768,294814.000000,230558.000000
973.684811,0.106661,303951.000000,237762.000000
977.509867,0.106601,312634.000000,244588.000000
981.330570,0.106364,320588.000000,250948.000000
985.146920,0.105931,327227.000000,256400.000000
988.958918,0.107035,332863.000000,260154.000000
992.766563,0.106578,337748.000000,264250.000000
997.836653,0.106215,342296.000000,268032.000000
1001.634142,0.107021,344897.000000,269568.000000
1005.427279,0.106791,346533.000000,270990.000000
1009.216063,0.107449,347364.000000,271229.000000
1013.000494,0.107217,347610.000000,271566.000000
1016.780573,0.106832,347104.000000,271411.000000
1020.556299,0.107197,346356.000000,270599.000000
1024.327673,0.107556,345314.000000,269562.000000
1028.094694,0.107288,344068.000000,268755.000000
1033.110618,0.106505,342670.000000,268146.000000
1036.867483,0.105764,341443.000000,267642.000000
1040.619996,0.105344,340565.000000,267212.000000
1044.368155,0.105221,339602.000000,266532.000000
1048.111963,0.104903,339187.000000,266401.000000
1051.851417,0.104344,338370.000000,266102.000000
1055.586519,0.104452,337732.000000,265534.000000
1059.317269,0.103447,337270.000000,265785.000000
1063.043666,0.103097,337131.000000,265890.000000
1068.005424,0.103355,337198.000000,265785.000000
1071.721665,0.104583,337936.000000,265614.000000
1075.433553,0.103484,338814.000000,266979.000000
1079.141089,0.103291,339835.000000,267903.000000
1082.844272,0.103683,341087.000000,268647.000000
1086.543103,0.103559,342595.000000,269912.000000
1090.237580,0.103952,344242.000000,270964.000000
1093.927706,0.103686,346318.000000,272765.000000
