Method:,Column 1,,
Host Date-Time:,14/1/21 @ 10:50:55,,
Header Version:,1,,
System Temp hundredths:,2742,,
Detector Temp hundredths:,2282,,
Humidity hundredths:,1218,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1368.347147,0.068052,504705.000000,431505.000000
1371.693417,0.069149,502623.000000,428641.000000
1375.035335,0.069713,499288.000000,425244.000000
1378.372901,0.070299,496007.000000,421880.000000
1381.706114,0.070389,493126.000000,419343.000000
1385.034974,0.070472,489992.000000,416598.000000
1388.359481,0.071300,487730.000000,413885.000000
1391.679637,0.072317,486234.000000,411650.000000
1396.099739,0.073641,485318.000000,409624.000000
1399.409738,0.074172,485002.000000,408857.000000
1402.715385,0.073480,484535.000000,409115.000000
1406.016679,0.072365,484521.000000,410155.000000
1409.313620,0.070841,485069.000000,412062.000000
1412.606208,0.069379,485477.000000,413799.000000
1415.894445,0.067706,485710.000000,415596.000000
1419.178328,0.065923,486186.000000,417714.000000
1422.457859,0.065730,487691.000000,419194.000000
1426.823796,0.064630,489071.000000,421446.000000
1430.093171,0.063900,490374.000000,423280.000000
1433.358193,0.063336,491971.000000,425210.000000
1436.618863,0.061999,493431.000000,427787.000000
1439.875180,0.060672,495220.000000,430652.000000
1443.127144,0.060120,496699.000000,432487.000000
1446.374756,0.058800,498105.000000,435032.000000
1449.618016,0.059188,499484.000000,435847.000000
1453.935591,0.058247,501051.000000,438162.000000
1457.168694,0.058820,501839.000000,438273.000000
1460.397445,0.058776,502305.000000,438724.000000
1463.621843,0.059290,502914.000000,438736.000000
1466.841888,0.059952,502990.000000,438134.000000
1470.057581,0.061185,502944.000000,436852.000000
1473.268921,0.062286,502843.000000,435659.000000
1476.475909,0.062752,502522.000000,434914.000000
1479.678544,0.063941,501687.000000,433004.000000
1483.941954,0.065735,500616.000000,430298.000000
1487.134433,0.068292,499704.000000,426993.000000
1490.322559,0.071436,498255.000000,422684.000000
1493.506333,0.075002,496773.000000,417980.000000
1496.685754,0.079223,495016.000000,412474.000000
1499.860823,0.084634,492977.000000,405688.000000
1503.031539,0.090939,491156.000000,398364.000000
1506.197903,0.097662,489004.000000,390526.000000
1509.359914,0.103699,486639.000000,383273.000000
1513.569158,0.111315,482899.000000,373716.000000
1516.721012,0.116333,479678.000000,366958.000000
1519.868515,0.121087,476890.000000,360854.000000
1523.011664,0.124194,473405.000000,355663.000000
1526.150462,0.125802,470037.000000,351828.000000
1529.284906,0.127726,466420.000000,347577.000000
1532.414998,0.128385,462360.000000,344029.000000
1535.540737,0.129914,457987.000000,339578.000000
1538.662124,0.131680,453227.000000,334685.000000
1542.817202,0.133695,447406.000000,328857.000000
1545.928433,0.136018,442064.000000,323197.000000
1549.035311,0.136622,436619.000000,318772.000000
1552.137837,0.139088,431327.000000,313126.000000
1555.236010,0.142795,425604.000000,306345.000000
