Method:,Column 1,,
Host Date-Time:,14/1/21 @ 10:53:20,,
Header Version:,1,,
System Temp hundredths:,2875,,
Detector Temp hundredths:,2402,,
Humidity hundredths:,1079,,
Lamp PD:,3652,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.179819,91207.000000,60285.000000
905.391135,0.173141,100140.000000,67215.000000
909.293086,0.175368,108241.000000,72281.000000
913.190685,0.174865,116884.000000,78143.000000
917.083931,0.177293,127518.000000,84777.000000
920.972825,0.176111,140036.000000,93353.000000
926.151245,0.177255,160442.000000,106675.000000
930.029983,0.175077,176924.000000,118225.000000
933.904368,0.169379,192482.000000,130320.000000
937.774400,0.166231,207019.000000,141182.000000
941.640080,0.162129,220214.000000,151606.000000
945.501407,0.159684,231781.000000,160470.000000
949.358382,0.158548,242385.000000,168251.000000
953.211004,0.156404,252506.000000,176144.000000
957.059273,0.155602,262404.000000,183387.000000
962.183529,0.153107,275634.000000,193743.000000
966.021642,0.151832,285310.000000,201134.000000
969.855403,0.151635,294814.000000,207928.000000
973.684811,0.150343,303951.000000,215011.000000
977.509867,0.150029,312634.000000,221313.000000
981.330570,0.150337,320588.000000,226783.000000
985.146920,0.150002,327227.000000,231658.000000
988.958918,0.150828,332863.000000,235200.000000
992.766563,0.151097,337748.000000,238504.000000
997.836653,0.152089,342296.000000,241164.000000
1001.634142,0.153833,344897.000000,242023.000000
1005.427279,0.154950,346533.000000,242546.000000
1009.216063,0.156311,347364.000000,242367.000000
1013.000494,0.156640,347610.000000,242355.000000
1016.780573,0.157108,347104.000000,241742.000000
1020.556299,0.157289,346356.000000,241120.000000
1024.327673,0.157674,345314.000000,240182.000000
1028.094694,0.158925,344068.000000,238627.000000
1033.110618,0.159138,342670.000000,237541.000000
1036.867483,0.158698,341443.000000,236930.000000
1040.619996,0.158453,340565.000000,236454.000000
1044.368155,0.157576,339602.000000,236262.000000
1048.111963,0.157687,339187.000000,235913.000000
1051.851417,0.157412,338370.000000,235494.000000
1055.586519,0.156038,337732.000000,235795.000000
1059.317269,0.156284,337270.000000,235339.000000
1063.043666,0.155157,337131.000000,235853.000000
1068.005424,0.154914,337198.000000,236032.000000
1071.721665,0.154902,337936.000000,236555.000000
1075.433553,0.155704,338814.000000,236732.000000
1079.141089,0.154983,339835.000000,237840.000000
1082.844272,0.155548,341087.000000,238406.000000
1086.543103,0.155071,342595.000000,239723.000000
1090.237580,0.155334,344242.000000,240730.000000
1093.927706,0.155256,346318.000000,242225.000000
1097.613478,0.154346,348067.000000,243959.000000
1102.521071,0.153442,350874.000000,246439.000000
1106.196688,0.152394,352530.000000,248200.000000
1109.867952,0.152831,354393.000000,249261.000000
1113.534864,0.151827,356181.000000,251098.000000
1117.197422,0.150497,357783.000000,253001.000000
1120.855629,0.149669,359117.000000,254429.000000
1124.509482,0.150064,360790.000000,255382.000000
1128.158984,0.148190,361832.000000,257227.000000
1131.804132,0.148357,363284.000000,258160.000000
1136.657559,0.148705,364834.000000,259054.000000
1140.292552,0.150337,365983.000000,258895.000000
1143.923192,0.151318,367533.000000,259405.000000
1147.549479,0.151831,368590.000000,259844.000000
1151.171414,0.154621,369591.000000,258881.000000
1154.788996,0.156701,370608.000000,258353.000000
1158.402225,0.159751,371792.000000,257365.000000
1162.011102,0.162201,373034.000000,256772.000000
1165.615627,0.164910,374075.000000,255887.000000
1170.414889,0.167849,375979.000000,255455.000000
1174.009257,0.173474,377809.000000,253395.000000
1177.599273,0.178159,379926.000000,252081.000000
1181.184936,0.183788,382215.000000,250334.000000
1184.766246,0.191265,385401.000000,248112.000000
1188.343204,0.197087,388776.000000,246952.000000
1191.915809,0.202520,392428.000000,246173.000000
1195.484062,0.204565,395791.000000,247116.000000
1199.047962,0.206428,399382.000000,248291.000000
