Method:,Column 1,,
Host Date-Time:,17/12/20 @ 16:24:52,,
Header Version:,1,,
System Temp hundredths:,3004,,
Detector Temp hundredths:,2558,,
Humidity hundredths:,1481,,
Lamp PD:,3654,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.198867,91207.000000,57698.000000
905.391135,0.193364,100140.000000,64157.000000
909.293086,0.192970,108241.000000,69410.000000
913.190685,0.193488,116884.000000,74863.000000
917.083931,0.195454,127518.000000,81305.000000
920.972825,0.194514,140036.000000,89480.000000
926.151245,0.194378,160442.000000,102551.000000
930.029983,0.194098,176924.000000,113159.000000
933.904368,0.188482,192482.000000,124712.000000
937.774400,0.183933,207019.000000,135543.000000
941.640080,0.180033,220214.000000,145483.000000
945.501407,0.177301,231781.000000,154091.000000
949.358382,0.176008,242385.000000,161621.000000
953.211004,0.174187,252506.000000,169077.000000
957.059273,0.171874,262404.000000,176643.000000
962.183529,0.169766,275634.000000,186452.000000
966.021642,0.168715,285310.000000,193465.000000
969.855403,0.167434,294814.000000,200500.000000
973.684811,0.167081,303951.000000,206882.000000
977.509867,0.166418,312634.000000,213117.000000
981.330570,0.166796,320588.000000,218349.000000
985.146920,0.166087,327227.000000,223235.000000
988.958918,0.166546,332863.000000,226840.000000
992.766563,0.166631,337748.000000,230124.000000
997.836653,0.168508,342296.000000,232217.000000
1001.634142,0.170177,344897.000000,233084.000000
1005.427279,0.170733,346533.000000,233890.000000
1009.216063,0.171420,347364.000000,234080.000000
1013.000494,0.171630,347610.000000,234133.000000
1016.780573,0.172149,347104.000000,233513.000000
1020.556299,0.173161,346356.000000,232467.000000
1024.327673,0.172986,345314.000000,231861.000000
1028.094694,0.173857,344068.000000,230562.000000
1033.110618,0.174483,342670.000000,229294.000000
1036.867483,0.173693,341443.000000,228889.000000
1040.619996,0.172440,340565.000000,228960.000000
1044.368155,0.173544,339602.000000,227733.000000
1048.111963,0.173143,339187.000000,227665.000000
1051.851417,0.172120,338370.000000,227652.000000
1055.586519,0.170853,337732.000000,227887.000000
1059.317269,0.170784,337270.000000,227611.000000
1063.043666,0.170056,337131.000000,227899.000000
1068.005424,0.170347,337198.000000,227792.000000
1071.721665,0.170795,337936.000000,228055.000000
1075.433553,0.170583,338814.000000,228759.000000
1079.141089,0.169833,339835.000000,229845.000000
1082.844272,0.170688,341087.000000,230238.000000
1086.543103,0.170540,342595.000000,231335.000000
1090.237580,0.170392,344242.000000,232526.000000
1093.927706,0.170794,346318.000000,233712.000000
1097.613478,0.169454,348067.000000,235618.000000
1102.521071,0.169232,350874.000000,237640.000000
1106.196688,0.168373,352530.000000,239234.000000
1109.867952,0.167968,354393.000000,240723.000000
1113.534864,0.167771,356181.000000,242047.000000
1117.197422,0.166342,357783.000000,243937.000000
1120.855629,0.165592,359117.000000,245270.000000
1124.509482,0.165279,360790.000000,246590.000000
1128.158984,0.164188,361832.000000,247924.000000
1131.804132,0.164929,363284.000000,248495.000000
1136.657559,0.165444,364834.000000,249259.000000
1140.292552,0.166166,365983.000000,249629.000000
1143.923192,0.167645,367533.000000,249834.000000
1147.549479,0.168899,368590.000000,249830.000000
1151.171414,0.170214,369591.000000,249751.000000
1154.788996,0.172252,370608.000000,249266.000000
1158.402225,0.174989,371792.000000,248491.000000
1162.011102,0.178168,373034.000000,247503.000000
1165.615627,0.180434,374075.000000,246902.000000
1170.414889,0.184903,375979.000000,245618.000000
1174.009257,0.189141,377809.000000,244417.000000
1177.599273,0.194941,379926.000000,242526.000000
1181.184936,0.200754,382215.000000,240743.000000
1184.766246,0.207484,385401.000000,239017.000000
1188.343204,0.213228,388776.000000,237942.000000
1191.915809,0.218400,392428.000000,237334.000000
1195.484062,0.221698,395791.000000,237557.000000
1199.047962,0.223049,399382.000000,238968.000000
1203.793059,0.222348,405070.000000,242763.000000
1207.346803,0.221948,409052.000000,245375.000000
1210.896194,0.221546,412904.000000,247915.000000
1214.441233,0.221982,416885.000000,250054.000000
1217.981920,0.222950,421320.000000,252152.000000
1221.518253,0.223065,425284.000000,254457.000000
1225.050234,0.222307,429183.000000,257238.000000
1228.577863,0.221526,433814.000000,260482.000000
1232.101139,0.220823,438565.000000,263761.000000
1236.792070,0.219371,444300.000000,268105.000000
1240.305190,0.219265,448060.000000,270440.000000
1243.813957,0.220013,452297.000000,272528.000000
1247.318372,0.219813,455893.000000,274821.000000
1250.818434,0.221055,459082.000000,275953.000000
