Method:,Column 1,,
Host Date-Time:,10/12/20 @ 16:33:11,,
Header Version:,1,,
System Temp hundredths:,3291,,
Detector Temp hundredths:,2915,,
Humidity hundredths:,391,,
Lamp PD:,3652,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.167889,91207.000000,61964.000000
905.391135,0.161966,100140.000000,68967.000000
909.293086,0.160299,108241.000000,74833.000000
913.190685,0.163110,116884.000000,80287.000000
917.083931,0.166927,127518.000000,86825.000000
920.972825,0.167959,140036.000000,95122.000000
926.151245,0.169672,160442.000000,108554.000000
930.029983,0.166047,176924.000000,120709.000000
933.904368,0.162945,192482.000000,132265.000000
937.774400,0.157340,207019.000000,144102.000000
941.640080,0.153613,220214.000000,154608.000000
945.501407,0.147115,231781.000000,165182.000000
949.358382,0.144601,242385.000000,173742.000000
953.211004,0.143017,252506.000000,181658.000000
957.059273,0.140921,262404.000000,189692.000000
962.183529,0.138591,275634.000000,200328.000000
966.021642,0.137007,285310.000000,208118.000000
969.855403,0.135686,294814.000000,215706.000000
973.684811,0.134713,303951.000000,222890.000000
977.509867,0.133639,312634.000000,229825.000000
981.330570,0.133536,320588.000000,235728.000000
985.146920,0.133380,327227.000000,240696.000000
988.958918,0.132550,332863.000000,245310.000000
992.766563,0.134477,337748.000000,247808.000000
997.836653,0.134533,342296.000000,251113.000000
1001.634142,0.135590,344897.000000,252406.000000
1005.427279,0.136151,346533.000000,253276.000000
1009.216063,0.137030,347364.000000,253370.000000
1013.000494,0.137719,347610.000000,253147.000000
1016.780573,0.138234,347104.000000,252479.000000
1020.556299,0.137370,346356.000000,252437.000000
1024.327673,0.138352,345314.000000,251109.000000
1028.094694,0.138815,344068.000000,249936.000000
1033.110618,0.138129,342670.000000,249314.000000
1036.867483,0.137955,341443.000000,248521.000000
1040.619996,0.137449,340565.000000,248171.000000
1044.368155,0.136720,339602.000000,247885.000000
1048.111963,0.137011,339187.000000,247416.000000
1051.851417,0.136089,338370.000000,247345.000000
1055.586519,0.135195,337732.000000,247387.000000
1059.317269,0.135377,337270.000000,246945.000000
1063.043666,0.134529,337131.000000,247326.000000
1068.005424,0.133542,337198.000000,247938.000000
1071.721665,0.135231,337936.000000,247516.000000
1075.433553,0.134403,338814.000000,248633.000000
1079.141089,0.134819,339835.000000,249143.000000
1082.844272,0.134811,341087.000000,250066.000000
1086.543103,0.134957,342595.000000,251087.000000
1090.237580,0.135372,344242.000000,252053.000000
1093.927706,0.134168,346318.000000,254277.000000
1097.613478,0.134167,348067.000000,255562.000000
1102.521071,0.133439,350874.000000,258055.000000
1106.196688,0.133117,352530.000000,259465.000000
1109.867952,0.132087,354393.000000,261456.000000
1113.534864,0.131917,356181.000000,262878.000000
1117.197422,0.130776,357783.000000,264755.000000
1120.855629,0.130825,359117.000000,265712.000000
1124.509482,0.130100,360790.000000,267396.000000
1128.158984,0.128897,361832.000000,268912.000000
1131.804132,0.129531,363284.000000,269597.000000
1136.657559,0.129633,364834.000000,270684.000000
1140.292552,0.131233,365983.000000,270538.000000
1143.923192,0.131874,367533.000000,271283.000000
1147.549479,0.134046,368590.000000,270706.000000
1151.171414,0.135771,369591.000000,270365.000000
1154.788996,0.137467,370608.000000,270052.000000
1158.402225,0.140482,371792.000000,269041.000000
1162.011102,0.142951,373034.000000,268409.000000
1165.615627,0.145700,374075.000000,267460.000000
1170.414889,0.149982,375979.000000,266184.000000
1174.009257,0.154194,377809.000000,264898.000000
1177.599273,0.160246,379926.000000,262696.000000
1181.184936,0.165554,382215.000000,261068.000000
1184.766246,0.171914,385401.000000,259417.000000
1188.343204,0.177903,388776.000000,258105.000000
1191.915809,0.182011,392428.000000,258077.000000
1195.484062,0.184668,395791.000000,258701.000000
1199.047962,0.186347,399382.000000,260041.000000
1203.793059,0.185980,405070.000000,263967.000000
1207.346803,0.185079,409052.000000,267116.000000
1210.896194,0.185718,412904.000000,269235.000000
1214.441233,0.185462,416885.000000,271991.000000
