Method:,Column 1,,
Host Date-Time:,10/12/20 @ 16:17:23,,
Header Version:,1,,
System Temp hundredths:,2932,,
Detector Temp hundredths:,2555,,
Humidity hundredths:,701,,
Lamp PD:,3659,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.105121,91207.000000,71599.000000
905.391135,0.098023,100140.000000,79907.000000
909.293086,0.100889,108241.000000,85803.000000
913.190685,0.100497,116884.000000,92738.000000
917.083931,0.101469,127518.000000,100949.000000
920.972825,0.101853,140036.000000,110761.000000
926.151245,0.103382,160442.000000,126455.000000
930.029983,0.102230,176924.000000,139816.000000
933.904368,0.098081,192482.000000,153571.000000
937.774400,0.093161,207019.000000,167051.000000
941.640080,0.089534,220214.000000,179189.000000
945.501407,0.084964,231781.000000,190596.000000
949.358382,0.082690,242385.000000,200362.000000
953.211004,0.080590,252506.000000,209740.000000
957.059273,0.078939,262404.000000,218792.000000
962.183529,0.077850,275634.000000,230400.000000
966.021642,0.076616,285310.000000,239167.000000
969.855403,0.075494,294814.000000,247773.000000
973.684811,0.074565,303951.000000,255999.000000
977.509867,0.073543,312634.000000,263933.000000
981.330570,0.072941,320588.000000,271023.000000
985.146920,0.072398,327227.000000,276982.000000
988.958918,0.071264,332863.000000,282489.000000
992.766563,0.070529,337748.000000,287120.000000
997.836653,0.069851,342296.000000,291441.000000
1001.634142,0.068982,344897.000000,294244.000000
1005.427279,0.068193,346533.000000,296177.000000
1009.216063,0.068100,347364.000000,296951.000000
1013.000494,0.066927,347610.000000,297965.000000
1016.780573,0.066620,347104.000000,297742.000000
1020.556299,0.066465,346356.000000,297206.000000
1024.327673,0.066488,345314.000000,296296.000000
1028.094694,0.066379,344068.000000,295301.000000
1033.110618,0.066935,342670.000000,293725.000000
1036.867483,0.066792,341443.000000,292770.000000
1040.619996,0.066445,340565.000000,292250.000000
1044.368155,0.066880,339602.000000,291132.000000
1048.111963,0.066766,339187.000000,290853.000000
