Method:,Column 1,,
Host Date-Time:,14/1/21 @ 10:52:1,,
Header Version:,1,,
System Temp hundredths:,2809,,
Detector Temp hundredths:,2335,,
Humidity hundredths:,1151,,
Lamp PD:,3655,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.318842,91207.000000,43771.000000
905.391135,0.309217,100140.000000,49135.000000
909.293086,0.311519,108241.000000,52829.000000
913.190685,0.315084,116884.000000,56581.000000
917.083931,0.314344,127518.000000,61834.000000
920.972825,0.314434,140036.000000,67890.000000
926.151245,0.312634,160442.000000,78106.000000
930.029983,0.311198,176924.000000,86415.000000
933.904368,0.304505,192482.000000,95474.000000
937.774400,0.300730,207019.000000,103581.000000
941.640080,0.298395,220214.000000,110777.000000
945.501407,0.294353,231781.000000,117686.000000
949.358382,0.293011,242385.000000,123451.000000
953.211004,0.292855,252506.000000,128652.000000
957.059273,0.293818,262404.000000,133399.000000
962.183529,0.293362,275634.000000,140272.000000
966.021642,0.294954,285310.000000,144665.000000
969.855403,0.297620,294814.000000,148569.000000
973.684811,0.302632,303951.000000,151416.000000
977.509867,0.306834,312634.000000,154242.000000
981.330570,0.312786,320588.000000,156013.000000
985.146920,0.318170,327227.000000,157282.000000
988.958918,0.323864,332863.000000,157907.000000
992.766563,0.327409,337748.000000,158922.000000
997.836653,0.331429,342296.000000,159578.000000
1001.634142,0.332588,344897.000000,160362.000000
1005.427279,0.332997,346533.000000,160971.000000
1009.216063,0.331353,347364.000000,161969.000000
1013.000494,0.331676,347610.000000,161963.000000
1016.780573,0.330288,347104.000000,162245.000000
1020.556299,0.326787,346356.000000,163206.000000
1024.327673,0.323452,345314.000000,163969.000000
1028.094694,0.320346,344068.000000,164550.000000
1033.110618,0.317993,342670.000000,164772.000000
1036.867483,0.315250,341443.000000,165222.000000
1040.619996,0.312437,340565.000000,165868.000000
1044.368155,0.309473,339602.000000,166532.000000
1048.111963,0.307798,339187.000000,166971.000000
1051.851417,0.305027,338370.000000,167635.000000
1055.586519,0.304005,337732.000000,167713.000000
1059.317269,0.302415,337270.000000,168098.000000
1063.043666,0.300339,337131.000000,168834.000000
1068.005424,0.298890,337198.000000,169432.000000
1071.721665,0.297087,337936.000000,170509.000000
1075.433553,0.295454,338814.000000,171596.000000
1079.141089,0.293931,339835.000000,172718.000000
1082.844272,0.292988,341087.000000,173731.000000
1086.543103,0.289873,342595.000000,175755.000000
1090.237580,0.288395,344242.000000,177202.000000
1093.927706,0.287163,346318.000000,178777.000000
1097.613478,0.284931,348067.000000,180606.000000
1102.521071,0.283874,350874.000000,182506.000000
1106.196688,0.282116,352530.000000,184111.000000
1109.867952,0.280800,354393.000000,185646.000000
1113.534864,0.280173,356181.000000,186852.000000
1117.197422,0.280778,357783.000000,187431.000000
1120.855629,0.281443,359117.000000,187842.000000
1124.509482,0.282637,360790.000000,188199.000000
1128.158984,0.287100,361832.000000,186813.000000
1131.804132,0.289998,363284.000000,186315.000000
1136.657559,0.295925,364834.000000,184574.000000
1140.292552,0.299792,365983.000000,183514.000000
1143.923192,0.304765,367533.000000,182193.000000
1147.549479,0.311336,368590.000000,179973.000000
1151.171414,0.317333,369591.000000,177987.000000
1154.788996,0.323212,370608.000000,176077.000000
1158.402225,0.328323,371792.000000,174573.000000
1162.011102,0.333519,373034.000000,173073.000000
1165.615627,0.336878,374075.000000,172219.000000
1170.414889,0.343809,375979.000000,170355.000000
1174.009257,0.348328,377809.000000,169412.000000
1177.599273,0.353483,379926.000000,168351.000000
1181.184936,0.359227,382215.000000,167140.000000
1184.766246,0.363764,385401.000000,166782.000000
1188.343204,0.370165,388776.000000,165781.000000
1191.915809,0.377101,392428.000000,164687.000000
1195.484062,0.384028,395791.000000,163470.000000
1199.047962,0.387149,399382.000000,163772.000000
1203.793059,0.390344,405070.000000,164887.000000
1207.346803,0.391372,409052.000000,166114.000000
1210.896194,0.391868,412904.000000,167487.000000
1214.441233,0.392546,416885.000000,168838.000000
1217.981920,0.391149,421320.000000,171184.000000
1221.518253,0.386610,425284.000000,174610.000000
1225.050234,0.381913,429183.000000,178127.000000
1228.577863,0.375658,433814.000000,182661.000000
1232.101139,0.370155,438565.000000,187016.000000
1236.792070,0.365759,444300.000000,191389.000000
1240.305190,0.363508,448060.000000,194012.000000
1243.813957,0.360931,452297.000000,197012.000000
1247.318372,0.359846,455893.000000,199075.000000
1250.818434,0.358891,459082.000000,200909.000000
1254.314143,0.359050,462510.000000,202335.000000
1257.805500,0.357791,466532.000000,204687.000000
1261.292505,0.356627,470752.000000,207093.000000
1264.775157,0.355817,474874.000000,209296.000000
1269.411922,0.352788,480696.000000,213345.000000
1272.884417,0.352369,486062.000000,215935.000000
1276.352561,0.348945,490790.000000,219761.000000
1279.816351,0.348235,494557.000000,221810.000000
1283.275789,0.345662,498768.000000,225028.000000
1286.730874,0.344677,502917.000000,227415.000000
1290.181607,0.342666,506587.000000,230138.000000
1293.627987,0.343914,509239.000000,230679.000000
1297.070015,0.343807,511855.000000,231921.000000
1301.652615,0.343714,515095.000000,233439.000000
1305.084486,0.343741,516531.000000,234075.000000
1308.512005,0.344780,517299.000000,233863.000000
1311.935171,0.345320,518312.000000,234030.000000
1315.353985,0.345428,518822.000000,234202.000000
1318.768446,0.346103,518589.000000,233733.000000
1322.178555,0.347107,518088.000000,232968.000000
1325.584311,0.347467,517825.000000,232657.000000
1328.985715,0.349078,517743.000000,231759.000000
1333.514148,0.350657,517179.000000,230666.000000
1336.905396,0.354810,516086.000000,227988.000000
1340.292291,0.360291,515807.000000,225007.000000
1343.674833,0.367592,515261.000000,221022.000000
1347.053022,0.377363,514494.000000,215783.000000
1350.426860,0.390401,513196.000000,208873.000000
1353.796344,0.405595,511820.000000,201151.000000
1357.161476,0.421032,510453.000000,193608.000000
1360.522255,0.435408,508989.000000,186767.000000
1364.996523,0.449567,506578.000000,179920.000000
1368.347147,0.456103,504705.000000,176577.000000
1371.693417,0.459800,502623.000000,174358.000000
1375.035335,0.457021,499288.000000,174313.000000
1378.372901,0.452028,496007.000000,175170.000000
1381.706114,0.446016,493126.000000,176580.000000
1385.034974,0.442024,489992.000000,177078.000000
1388.359481,0.441044,487730.000000,176659.000000
1391.679637,0.443378,486234.000000,175173.000000
1396.099739,0.450498,485318.000000,172000.000000
1399.409738,0.458572,485002.000000,168722.000000
1402.715385,0.468205,484535.000000,164862.000000
1406.016679,0.480881,484521.000000,160115.000000
1409.313620,0.496518,485069.000000,154627.000000
1412.606208,0.513280,485477.000000,148898.000000
1415.894445,0.535332,485710.000000,141594.000000
1419.178328,0.559468,486186.000000,134071.000000
1422.457859,0.589266,487691.000000,125568.000000
