Method:,Column 1,,
Host Date-Time:,10/12/20 @ 15:8:37,,
Header Version:,1,,
System Temp hundredths:,3308,,
Detector Temp hundredths:,3006,,
Humidity hundredths:,460,,
Lamp PD:,3652,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.084770,91207.000000,75034.000000
905.391135,0.078911,100140.000000,83502.000000
909.293086,0.079600,108241.000000,90114.000000
913.190685,0.083529,116884.000000,96433.000000
917.083931,0.086007,127518.000000,104608.000000
920.972825,0.087123,140036.000000,114582.000000
926.151245,0.088707,160442.000000,130801.000000
930.029983,0.087799,176924.000000,144540.000000
933.904368,0.082712,192482.000000,159103.000000
937.774400,0.078188,207019.000000,172911.000000
941.640080,0.073404,220214.000000,185969.000000
945.501407,0.070171,231781.000000,197200.000000
949.358382,0.067117,242385.000000,207677.000000
953.211004,0.064904,252506.000000,217454.000000
957.059273,0.063632,262404.000000,226641.000000
962.183529,0.064008,275634.000000,237862.000000
966.021642,0.062949,285310.000000,246813.000000
969.855403,0.062724,294814.000000,255167.000000
973.684811,0.062521,303951.000000,263198.000000
977.509867,0.063434,312634.000000,270148.000000
981.330570,0.063314,320588.000000,277098.000000
985.146920,0.064394,327227.000000,282134.000000
988.958918,0.065112,332863.000000,286519.000000
992.766563,0.065040,337748.000000,290772.000000
997.836653,0.065502,342296.000000,294374.000000
1001.634142,0.065326,344897.000000,296731.000000
1005.427279,0.065912,346533.000000,297737.000000
1009.216063,0.065566,347364.000000,298689.000000
1013.000494,0.066256,347610.000000,298426.000000
1016.780573,0.066080,347104.000000,298112.000000
1020.556299,0.066274,346356.000000,297337.000000
1024.327673,0.066321,345314.000000,296410.000000
1028.094694,0.065485,344068.000000,295910.000000
1033.110618,0.065848,342670.000000,294461.000000
1036.867483,0.064804,341443.000000,294113.000000
1040.619996,0.064358,340565.000000,293658.000000
1044.368155,0.064355,339602.000000,292830.000000
1048.111963,0.064217,339187.000000,292565.000000
1051.851417,0.062893,338370.000000,292751.000000
1055.586519,0.062546,337732.000000,292433.000000
1059.317269,0.062403,337270.000000,292129.000000
1063.043666,0.061501,337131.000000,292616.000000
1068.005424,0.061685,337198.000000,292550.000000
1071.721665,0.061000,337936.000000,293653.000000
1075.433553,0.061907,338814.000000,293802.000000
1079.141089,0.061222,339835.000000,295152.000000
1082.844272,0.061195,341087.000000,296258.000000
1086.543103,0.060734,342595.000000,297884.000000
1090.237580,0.060862,344242.000000,299228.000000
1093.927706,0.060565,346318.000000,301238.000000
1097.613478,0.059819,348067.000000,303280.000000
1102.521071,0.059972,350874.000000,305618.000000
1106.196688,0.058997,352530.000000,307751.000000
1109.867952,0.058722,354393.000000,309573.000000
1113.534864,0.058612,356181.000000,311214.000000
1117.197422,0.057820,357783.000000,313184.000000
1120.855629,0.056881,359117.000000,315032.000000
1124.509482,0.057077,360790.000000,316357.000000
1128.158984,0.056989,361832.000000,317335.000000
1131.804132,0.057665,363284.000000,318113.000000
1136.657559,0.059661,364834.000000,318005.000000
1140.292552,0.059990,365983.000000,318765.000000
1143.923192,0.061593,367533.000000,318936.000000
1147.549479,0.062545,368590.000000,319153.000000
1151.171414,0.064213,369591.000000,318793.000000
1154.788996,0.065923,370608.000000,318414.000000
1158.402225,0.067630,371792.000000,318178.000000
1162.011102,0.068945,373034.000000,318276.000000
1165.615627,0.071303,374075.000000,317436.000000
1170.414889,0.074688,375979.000000,316574.000000
1174.009257,0.077772,377809.000000,315864.000000
1177.599273,0.080768,379926.000000,315450.000000
1181.184936,0.084668,382215.000000,314514.000000
1184.766246,0.087718,385401.000000,314916.000000
1188.343204,0.090774,388776.000000,315446.000000
1191.915809,0.095407,392428.000000,315031.000000
1195.484062,0.098079,395791.000000,315782.000000
1199.047962,0.101991,399382.000000,315789.000000
