Method:,Column 1,,
Host Date-Time:,17/12/20 @ 14:54:49,,
Header Version:,1,,
System Temp hundredths:,2967,,
Detector Temp hundredths:,2538,,
Humidity hundredths:,1520,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.072467,91207.000000,77190.000000
905.391135,0.068621,100140.000000,85504.000000
909.293086,0.068048,108241.000000,92543.000000
913.190685,0.067781,116884.000000,99994.000000
917.083931,0.070662,127518.000000,108370.000000
920.972825,0.072826,140036.000000,118417.000000
926.151245,0.072853,160442.000000,135664.000000
930.029983,0.071464,176924.000000,150080.000000
933.904368,0.066222,192482.000000,165260.000000
937.774400,0.062660,207019.000000,179205.000000
941.640080,0.059788,220214.000000,191892.000000
945.501407,0.056699,231781.000000,203413.000000
949.358382,0.053082,242385.000000,214498.000000
953.211004,0.051766,252506.000000,224133.000000
957.059273,0.050991,262404.000000,233335.000000
962.183529,0.050260,275634.000000,245512.000000
966.021642,0.048773,285310.000000,255002.000000
969.855403,0.047951,294814.000000,263996.000000
973.684811,0.047632,303951.000000,272378.000000
977.509867,0.047150,312634.000000,280470.000000
981.330570,0.046941,320588.000000,287744.000000
985.146920,0.046366,327227.000000,294092.000000
988.958918,0.045763,332863.000000,299573.000000
992.766563,0.045755,337748.000000,303975.000000
997.836653,0.045400,342296.000000,308320.000000
1001.634142,0.045186,344897.000000,310816.000000
1005.427279,0.044313,346533.000000,312919.000000
1009.216063,0.044173,347364.000000,313770.000000
1013.000494,0.043746,347610.000000,314301.000000
1016.780573,0.043702,347104.000000,313876.000000
1020.556299,0.043813,346356.000000,313119.000000
1024.327673,0.043698,345314.000000,312260.000000
1028.094694,0.043901,344068.000000,310988.000000
1033.110618,0.044221,342670.000000,309496.000000
1036.867483,0.043943,341443.000000,308585.000000
1040.619996,0.044694,340565.000000,307260.000000
1044.368155,0.044659,339602.000000,306416.000000
1048.111963,0.045856,339187.000000,305199.000000
1051.851417,0.044977,338370.000000,305081.000000
1055.586519,0.045780,337732.000000,303943.000000
1059.317269,0.045118,337270.000000,303990.000000
1063.043666,0.045167,337131.000000,303831.000000
1068.005424,0.044870,337198.000000,304099.000000
1071.721665,0.045751,337936.000000,304147.000000
1075.433553,0.045684,338814.000000,304984.000000
1079.141089,0.045950,339835.000000,305716.000000
1082.844272,0.045850,341087.000000,306913.000000
1086.543103,0.046340,342595.000000,307922.000000
1090.237580,0.046335,344242.000000,309406.000000
1093.927706,0.047132,346318.000000,310701.000000
1097.613478,0.046736,348067.000000,312555.000000
1102.521071,0.046345,350874.000000,315360.000000
1106.196688,0.046122,352530.000000,317011.000000
1109.867952,0.045688,354393.000000,319005.000000
1113.534864,0.045321,356181.000000,320885.000000
1117.197422,0.044720,357783.000000,322775.000000
1120.855629,0.043758,359117.000000,324697.000000
1124.509482,0.044001,360790.000000,326027.000000
1128.158984,0.043615,361832.000000,327259.000000
1131.804132,0.043272,363284.000000,328832.000000
1136.657559,0.044295,364834.000000,329458.000000
1140.292552,0.044176,365983.000000,330586.000000
1143.923192,0.045655,367533.000000,330858.000000
1147.549479,0.046638,368590.000000,331059.000000
1151.171414,0.047293,369591.000000,331458.000000
1154.788996,0.048448,370608.000000,331487.000000
1158.402225,0.050450,371792.000000,331017.000000
1162.011102,0.053307,373034.000000,329945.000000
1165.615627,0.054836,374075.000000,329703.000000
1170.414889,0.057906,375979.000000,329047.000000
1174.009257,0.060330,377809.000000,328808.000000
1177.599273,0.062078,379926.000000,329322.000000
1181.184936,0.064268,382215.000000,329640.000000
1184.766246,0.066254,385401.000000,330871.000000
1188.343204,0.068323,388776.000000,332182.000000
1191.915809,0.071676,392428.000000,332724.000000
1195.484062,0.074477,395791.000000,333418.000000
1199.047962,0.077311,399382.000000,334255.000000
1203.793059,0.081067,405070.000000,336096.000000
1207.346803,0.082679,409052.000000,338142.000000
1210.896194,0.084276,412904.000000,340074.000000
1214.441233,0.084177,416885.000000,343431.000000
1217.981920,0.083799,421320.000000,347387.000000
1221.518253,0.083016,425284.000000,351288.000000
1225.050234,0.080702,429183.000000,356402.000000
1228.577863,0.079727,433814.000000,361058.000000
1232.101139,0.078501,438565.000000,366044.000000
1236.792070,0.077630,444300.000000,371575.000000
1240.305190,0.077266,448060.000000,375034.000000
1243.813957,0.077266,452297.000000,378580.000000
1247.318372,0.077197,455893.000000,381651.000000
1250.818434,0.078297,459082.000000,383348.000000
1254.314143,0.078682,462510.000000,385868.000000
1257.805500,0.079466,466532.000000,388522.000000
1261.292505,0.080100,470752.000000,391464.000000
1264.775157,0.080886,474874.000000,394178.000000
1269.411922,0.081183,480696.000000,398738.000000
1272.884417,0.081985,486062.000000,402445.000000
1276.352561,0.081708,490790.000000,406619.000000
1279.816351,0.081697,494557.000000,409750.000000
1283.275789,0.080598,498768.000000,414286.000000
1286.730874,0.079796,502917.000000,418505.000000
1290.181607,0.078976,506587.000000,422355.000000
1293.627987,0.078198,509239.000000,425328.000000
1297.070015,0.078009,511855.000000,427699.000000
1301.652615,0.076908,515095.000000,431499.000000
1305.084486,0.076248,516531.000000,433360.000000
1308.512005,0.075134,517299.000000,435119.000000
1311.935171,0.074732,518312.000000,436374.000000
1315.353985,0.074017,518822.000000,437523.000000
1318.768446,0.073756,518589.000000,437590.000000
1322.178555,0.073515,518088.000000,437410.000000
1325.584311,0.073430,517825.000000,437273.000000
1328.985715,0.073980,517743.000000,436651.000000
1333.514148,0.074031,517179.000000,436124.000000
1336.905396,0.074651,516086.000000,434581.000000
1340.292291,0.075568,515807.000000,433430.000000
