Method:,Column 1,,
Host Date-Time:,14/1/21 @ 16:18:3,,
Header Version:,1,,
System Temp hundredths:,2476,,
Detector Temp hundredths:,2061,,
Humidity hundredths:,1688,,
Lamp PD:,3659,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.085523,91207.000000,74904.000000
905.391135,0.078505,100140.000000,83580.000000
909.293086,0.075136,108241.000000,91045.000000
913.190685,0.071191,116884.000000,99212.000000
917.083931,0.071589,127518.000000,108139.000000
920.972825,0.071767,140036.000000,118706.000000
926.151245,0.069858,160442.000000,136603.000000
930.029983,0.067202,176924.000000,151560.000000
933.904368,0.064484,192482.000000,165923.000000
937.774400,0.060974,207019.000000,179902.000000
941.640080,0.060536,220214.000000,191562.000000
945.501407,0.058621,231781.000000,202515.000000
949.358382,0.056722,242385.000000,212708.000000
953.211004,0.055557,252506.000000,222185.000000
957.059273,0.055671,262404.000000,230834.000000
962.183529,0.054187,275634.000000,243302.000000
966.021642,0.053276,285310.000000,252372.000000
969.855403,0.053355,294814.000000,260731.000000
973.684811,0.052480,303951.000000,269354.000000
977.509867,0.052082,312634.000000,277303.000000
981.330570,0.052264,320588.000000,284239.000000
985.146920,0.050964,327227.000000,290995.000000
988.958918,0.051099,332863.000000,295915.000000
992.766563,0.049497,337748.000000,301367.000000
997.836653,0.048810,342296.000000,305909.000000
1001.634142,0.047540,344897.000000,309136.000000
1005.427279,0.046748,346533.000000,311169.000000
1009.216063,0.045496,347364.000000,312816.000000
1013.000494,0.043997,347610.000000,314120.000000
1016.780573,0.042767,347104.000000,314552.000000
1020.556299,0.041736,346356.000000,314620.000000
1024.327673,0.041437,345314.000000,313890.000000
1028.094694,0.041124,344068.000000,312983.000000
1033.110618,0.040996,342670.000000,311803.000000
1036.867483,0.040551,341443.000000,311005.000000
1040.619996,0.039878,340565.000000,310686.000000
1044.368155,0.039347,339602.000000,310187.000000
1048.111963,0.037934,339187.000000,310817.000000
1051.851417,0.038100,338370.000000,309950.000000
1055.586519,0.037068,337732.000000,310102.000000
1059.317269,0.037189,337270.000000,309591.000000
1063.043666,0.036994,337131.000000,309603.000000
1068.005424,0.037205,337198.000000,309514.000000
1071.721665,0.036841,337936.000000,310451.000000
1075.433553,0.037799,338814.000000,310572.000000
1079.141089,0.038235,339835.000000,311195.000000
1082.844272,0.038958,341087.000000,311822.000000
1086.543103,0.040709,342595.000000,311941.000000
1090.237580,0.041049,344242.000000,313195.000000
1093.927706,0.042254,346318.000000,314211.000000
1097.613478,0.045342,348067.000000,313560.000000
1102.521071,0.049766,350874.000000,312885.000000
1106.196688,0.053307,352530.000000,311809.000000
1109.867952,0.056711,354393.000000,311010.000000
1113.534864,0.059637,356181.000000,310480.000000
1117.197422,0.062261,357783.000000,309998.000000
1120.855629,0.063775,359117.000000,310071.000000
1124.509482,0.064803,360790.000000,310779.000000
1128.158984,0.065971,361832.000000,310839.000000
1131.804132,0.066883,363284.000000,311432.000000
1136.657559,0.068915,364834.000000,311301.000000
1140.292552,0.069894,365983.000000,311578.000000
1143.923192,0.071028,367533.000000,312082.000000
1147.549479,0.071610,368590.000000,312560.000000
1151.171414,0.073112,369591.000000,312327.000000
1154.788996,0.074097,370608.000000,312477.000000
1158.402225,0.074822,371792.000000,312952.000000
1162.011102,0.074498,373034.000000,314232.000000
1165.615627,0.074204,374075.000000,315322.000000
1170.414889,0.072390,375979.000000,318254.000000
1174.009257,0.069242,377809.000000,322129.000000
1177.599273,0.065769,379926.000000,326535.000000
1181.184936,0.061375,382215.000000,331843.000000
1184.766246,0.057283,385401.000000,337777.000000
1188.343204,0.053861,388776.000000,343430.000000
1191.915809,0.051494,392428.000000,348551.000000
1195.484062,0.049375,395791.000000,353257.000000
1199.047962,0.047976,399382.000000,357612.000000
1203.793059,0.045805,405070.000000,364523.000000
1207.346803,0.045624,409052.000000,368260.000000
1210.896194,0.044845,412904.000000,372395.000000
1214.441233,0.043993,416885.000000,376724.000000
1217.981920,0.043684,421320.000000,381003.000000
1221.518253,0.042845,425284.000000,385331.000000
1225.050234,0.042083,429183.000000,389547.000000
1228.577863,0.041561,433814.000000,394224.000000
1232.101139,0.041726,438565.000000,398390.000000
1236.792070,0.041510,444300.000000,403800.000000
1240.305190,0.041215,448060.000000,407494.000000
1243.813957,0.040849,452297.000000,411694.000000
1247.318372,0.041451,455893.000000,414393.000000
1250.818434,0.041170,459082.000000,417561.000000
1254.314143,0.041200,462510.000000,420650.000000
1257.805500,0.041417,466532.000000,424096.000000
1261.292505,0.040775,470752.000000,428565.000000
1264.775157,0.041262,474874.000000,431834.000000
1269.411922,0.040840,480696.000000,437553.000000
1272.884417,0.041166,486062.000000,442105.000000
1276.352561,0.040988,490790.000000,446589.000000
1279.816351,0.041268,494557.000000,449726.000000
1283.275789,0.041934,498768.000000,452861.000000
1286.730874,0.042232,502917.000000,456315.000000
1290.181607,0.043018,506587.000000,458813.000000
1293.627987,0.044039,509239.000000,460132.000000
1297.070015,0.044390,511855.000000,462122.000000
1301.652615,0.045413,515095.000000,463953.000000
1305.084486,0.046145,516531.000000,464463.000000
1308.512005,0.046640,517299.000000,464624.000000
1311.935171,0.047737,518312.000000,464359.000000
1315.353985,0.048926,518822.000000,463545.000000
1318.768446,0.051195,518589.000000,460923.000000
1322.178555,0.054059,518088.000000,457451.000000
1325.584311,0.056703,517825.000000,454444.000000
1328.985715,0.061284,517743.000000,449604.000000
1333.514148,0.067194,517179.000000,443044.000000
1336.905396,0.072471,516086.000000,436768.000000
1340.292291,0.076043,515807.000000,432956.000000
1343.674833,0.078896,515261.000000,429666.000000
1347.053022,0.081319,514494.000000,426640.000000
1350.426860,0.082606,513196.000000,424304.000000
1353.796344,0.083972,511820.000000,421838.000000
1357.161476,0.083461,510453.000000,421206.000000
1360.522255,0.083058,508989.000000,420388.000000
1364.996523,0.081887,506578.000000,419526.000000
1368.347147,0.081478,504705.000000,418369.000000
1371.693417,0.080586,502623.000000,417500.000000
1375.035335,0.078962,499288.000000,416283.000000
1378.372901,0.076242,496007.000000,416146.000000
1381.706114,0.073430,493126.000000,416416.000000
1385.034974,0.070768,489992.000000,416314.000000
1388.359481,0.068873,487730.000000,416204.000000
1391.679637,0.067049,486234.000000,416674.000000
1396.099739,0.064788,485318.000000,418060.000000
1399.409738,0.063134,485002.000000,419382.000000
1402.715385,0.061533,484535.000000,420525.000000
1406.016679,0.060103,484521.000000,421900.000000
1409.313620,0.058137,485069.000000,424294.000000
1412.606208,0.057214,485477.000000,425554.000000
1415.894445,0.056808,485710.000000,426156.000000
1419.178328,0.057539,486186.000000,425857.000000
1422.457859,0.059370,487691.000000,425378.000000
1426.823796,0.062237,489071.000000,423775.000000
1430.093171,0.065187,490374.000000,422027.000000
1433.358193,0.066861,491971.000000,421773.000000
1436.618863,0.067551,493431.000000,422353.000000
1439.875180,0.066353,495220.000000,425055.000000
1443.127144,0.064073,496699.000000,428569.000000
1446.374756,0.062159,498105.000000,431680.000000
1449.618016,0.059512,499484.000000,435521.000000
1453.935591,0.056386,501051.000000,440044.000000
1457.168694,0.054008,501839.000000,443156.000000
1460.397445,0.050956,502305.000000,446695.000000
1463.621843,0.048137,502914.000000,450149.000000
1466.841888,0.044824,502990.000000,453665.000000
1470.057581,0.042828,502944.000000,455713.000000
1473.268921,0.041966,502843.000000,456527.000000
1476.475909,0.040287,502522.000000,458003.000000
1479.678544,0.039025,501687.000000,458572.000000
1483.941954,0.038868,500616.000000,457759.000000
1487.134433,0.038506,499704.000000,457306.000000
1490.322559,0.038034,498255.000000,456476.000000
