Method:,Column 1,,
Host Date-Time:,15/1/21 @ 15:17:43,,
Header Version:,1,,
System Temp hundredths:,2863,,
Detector Temp hundredths:,2480,,
Humidity hundredths:,213,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.101088,91207.000000,72267.000000
905.391135,0.095125,100140.000000,80442.000000
909.293086,0.092632,108241.000000,87450.000000
913.190685,0.094221,116884.000000,94088.000000
917.083931,0.095492,127518.000000,102348.000000
920.972825,0.098272,140036.000000,111678.000000
926.151245,0.099444,160442.000000,127607.000000
930.029983,0.096316,176924.000000,141733.000000
933.904368,0.091747,192482.000000,155827.000000
937.774400,0.088090,207019.000000,169013.000000
941.640080,0.084591,220214.000000,181240.000000
945.501407,0.082698,231781.000000,191593.000000
949.358382,0.079475,242385.000000,201851.000000
953.211004,0.078368,252506.000000,210816.000000
957.059273,0.076268,262404.000000,220142.000000
962.183529,0.075204,275634.000000,231808.000000
966.021642,0.074299,285310.000000,240446.000000
969.855403,0.073431,294814.000000,248953.000000
973.684811,0.072974,303951.000000,256939.000000
977.509867,0.073309,312634.000000,264075.000000
981.330570,0.072976,320588.000000,271001.000000
985.146920,0.073088,327227.000000,276542.000000
988.958918,0.071875,332863.000000,282092.000000
992.766563,0.071411,337748.000000,286538.000000
997.836653,0.070936,342296.000000,290714.000000
1001.634142,0.070682,344897.000000,293094.000000
1005.427279,0.070282,346533.000000,294756.000000
1009.216063,0.070217,347364.000000,295507.000000
1013.000494,0.069399,347610.000000,296274.000000
1016.780573,0.068897,347104.000000,296185.000000
1020.556299,0.068843,346356.000000,295583.000000
1024.327673,0.070018,345314.000000,293898.000000
1028.094694,0.070210,344068.000000,292708.000000
1033.110618,0.070100,342670.000000,291592.000000
1036.867483,0.069476,341443.000000,290966.000000
1040.619996,0.070425,340565.000000,289584.000000
1044.368155,0.071159,339602.000000,288278.000000
1048.111963,0.071157,339187.000000,287927.000000
1051.851417,0.071766,338370.000000,286831.000000
1055.586519,0.071281,337732.000000,286610.000000
1059.317269,0.071540,337270.000000,286047.000000
1063.043666,0.071276,337131.000000,286103.000000
1068.005424,0.071014,337198.000000,286333.000000
1071.721665,0.071893,337936.000000,286379.000000
1075.433553,0.071781,338814.000000,287197.000000
1079.141089,0.071867,339835.000000,288006.000000
1082.844272,0.072489,341087.000000,288653.000000
1086.543103,0.073042,342595.000000,289560.000000
1090.237580,0.073317,344242.000000,290768.000000
1093.927706,0.073045,346318.000000,292705.000000
1097.613478,0.073284,348067.000000,294021.000000
1102.521071,0.073125,350874.000000,296501.000000
1106.196688,0.072757,352530.000000,298153.000000
1109.867952,0.072561,354393.000000,299864.000000
1113.534864,0.071718,356181.000000,301962.000000
1117.197422,0.071045,357783.000000,303791.000000
1120.855629,0.070680,359117.000000,305180.000000
1124.509482,0.071136,360790.000000,306280.000000
1128.158984,0.071063,361832.000000,307216.000000
1131.804132,0.070411,363284.000000,308912.000000
1136.657559,0.070553,364834.000000,310129.000000
1140.292552,0.072098,365983.000000,310001.000000
1143.923192,0.072936,367533.000000,310714.000000
