Method:,Column 1,,
Host Date-Time:,15/1/21 @ 15:23:7,,
Header Version:,1,,
System Temp hundredths:,3076,,
Detector Temp hundredths:,2648,,
Humidity hundredths:,38,,
Lamp PD:,3653,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.163815,91207.000000,62548.000000
905.391135,0.158192,100140.000000,69569.000000
909.293086,0.159736,108241.000000,74930.000000
913.190685,0.159023,116884.000000,81046.000000
917.083931,0.162364,127518.000000,87742.000000
920.972825,0.165219,140036.000000,95724.000000
926.151245,0.163590,160442.000000,110085.000000
930.029983,0.162264,176924.000000,121765.000000
933.904368,0.157947,192482.000000,133796.000000
937.774400,0.154367,207019.000000,145092.000000
941.640080,0.151226,220214.000000,155460.000000
945.501407,0.146303,231781.000000,165491.000000
949.358382,0.144621,242385.000000,173734.000000
953.211004,0.143153,252506.000000,181601.000000
957.059273,0.141384,262404.000000,189490.000000
962.183529,0.140020,275634.000000,199670.000000
966.021642,0.139303,285310.000000,207021.000000
969.855403,0.138267,294814.000000,214428.000000
973.684811,0.136824,303951.000000,221809.000000
977.509867,0.137151,312634.000000,227974.000000
981.330570,0.137441,320588.000000,233618.000000
985.146920,0.137164,327227.000000,238608.000000
988.958918,0.137047,332863.000000,242783.000000
992.766563,0.137598,337748.000000,246034.000000
997.836653,0.139639,342296.000000,248178.000000
1001.634142,0.140071,344897.000000,249815.000000
1005.427279,0.140315,346533.000000,250859.000000
1009.216063,0.141944,347364.000000,250519.000000
1013.000494,0.142293,347610.000000,250495.000000
1016.780573,0.143156,347104.000000,249634.000000
1020.556299,0.144050,346356.000000,248584.000000
1024.327673,0.144073,345314.000000,247823.000000
1028.094694,0.144570,344068.000000,246646.000000
1033.110618,0.144305,342670.000000,245794.000000
1036.867483,0.144028,341443.000000,245070.000000
1040.619996,0.144445,340565.000000,244205.000000
1044.368155,0.143310,339602.000000,244152.000000
1048.111963,0.142907,339187.000000,244080.000000
1051.851417,0.142483,338370.000000,243730.000000
1055.586519,0.141433,337732.000000,243859.000000
1059.317269,0.141657,337270.000000,243400.000000
1063.043666,0.141152,337131.000000,243583.000000
1068.005424,0.141267,337198.000000,243567.000000
1071.721665,0.141372,337936.000000,244041.000000
1075.433553,0.141248,338814.000000,244745.000000
1079.141089,0.140879,339835.000000,245691.000000
1082.844272,0.141281,341087.000000,246368.000000
1086.543103,0.141179,342595.000000,247515.000000
1090.237580,0.140696,344242.000000,248982.000000
1093.927706,0.141132,346318.000000,250232.000000
1097.613478,0.140104,348067.000000,252092.000000
1102.521071,0.140099,350874.000000,254128.000000
1106.196688,0.138859,352530.000000,256057.000000
1109.867952,0.138654,354393.000000,257532.000000
1113.534864,0.138027,356181.000000,259205.000000
1117.197422,0.137092,357783.000000,260932.000000
1120.855629,0.135978,359117.000000,262578.000000
1124.509482,0.136138,360790.000000,263704.000000
1128.158984,0.135860,361832.000000,264635.000000
1131.804132,0.135481,363284.000000,265929.000000
1136.657559,0.136071,364834.000000,266701.000000
1140.292552,0.136607,365983.000000,267211.000000
1143.923192,0.138076,367533.000000,267436.000000
1147.549479,0.139291,368590.000000,267456.000000
1151.171414,0.141243,369591.000000,266980.000000
1154.788996,0.142473,370608.000000,266957.000000
1158.402225,0.145984,371792.000000,265654.000000
1162.011102,0.147504,373034.000000,265610.000000
1165.615627,0.150894,374075.000000,264280.000000
1170.414889,0.155150,375979.000000,263035.000000
1174.009257,0.158968,377809.000000,262002.000000
1177.599273,0.163760,379926.000000,260579.000000
1181.184936,0.169134,382215.000000,258925.000000
1184.766246,0.175681,385401.000000,257177.000000
1188.343204,0.180971,388776.000000,256288.000000
1191.915809,0.186118,392428.000000,255648.000000
1195.484062,0.186864,395791.000000,257396.000000
1199.047962,0.187995,399382.000000,259056.000000
1203.793059,0.188287,405070.000000,262569.000000
1207.346803,0.188921,409052.000000,264763.000000
1210.896194,0.188094,412904.000000,267766.000000
1214.441233,0.188649,416885.000000,270002.000000
1217.981920,0.188946,421320.000000,272688.000000
1221.518253,0.189988,425284.000000,274594.000000
1225.050234,0.189863,429183.000000,277191.000000
1228.577863,0.189764,433814.000000,280246.000000
1232.101139,0.188217,438565.000000,284326.000000
1236.792070,0.186742,444300.000000,289024.000000
1240.305190,0.187315,448060.000000,291086.000000
1243.813957,0.188172,452297.000000,293259.000000
1247.318372,0.187919,455893.000000,295763.000000
1250.818434,0.189582,459082.000000,296694.000000
1254.314143,0.189886,462510.000000,298700.000000
1257.805500,0.190606,466532.000000,300798.000000
1261.292505,0.190805,470752.000000,303380.000000
1264.775157,0.190936,474874.000000,305944.000000
1269.411922,0.191399,480696.000000,309365.000000
1272.884417,0.190697,486062.000000,313325.000000
1276.352561,0.190142,490790.000000,316777.000000
1279.816351,0.189645,494557.000000,319574.000000
1283.275789,0.188554,498768.000000,323106.000000
1286.730874,0.187785,502917.000000,326371.000000
1290.181607,0.186813,506587.000000,329489.000000
1293.627987,0.185743,509239.000000,332031.000000
1297.070015,0.184852,511855.000000,334422.000000
1301.652615,0.182531,515095.000000,338342.000000
1305.084486,0.180935,516531.000000,340535.000000
1308.512005,0.180126,517299.000000,341677.000000
1311.935171,0.179952,518312.000000,342483.000000
1315.353985,0.179899,518822.000000,342862.000000
1318.768446,0.179766,518589.000000,342813.000000
1322.178555,0.180084,518088.000000,342231.000000
1325.584311,0.180318,517825.000000,341873.000000
1328.985715,0.181327,517743.000000,341026.000000
1333.514148,0.182455,517179.000000,339771.000000
1336.905396,0.183701,516086.000000,338081.000000
1340.292291,0.185955,515807.000000,336149.000000
1343.674833,0.187443,515261.000000,334645.000000
1347.053022,0.190458,514494.000000,331835.000000
1350.426860,0.193490,513196.000000,328695.000000
1353.796344,0.197178,511820.000000,325042.000000
1357.161476,0.201029,510453.000000,321312.000000
1360.522255,0.204225,508989.000000,318041.000000
1364.996523,0.208690,506578.000000,313297.000000
1368.347147,0.210027,504705.000000,311179.000000
1371.693417,0.211170,502623.000000,309081.000000
1375.035335,0.210564,499288.000000,307459.000000
1378.372901,0.210525,496007.000000,305466.000000
1381.706114,0.211497,493126.000000,303013.000000
1385.034974,0.212080,489992.000000,300683.000000
1388.359481,0.213838,487730.000000,298086.000000
1391.679637,0.215140,486234.000000,296282.000000
1396.099739,0.216923,485318.000000,294512.000000
1399.409738,0.218158,485002.000000,293485.000000
1402.715385,0.219342,484535.000000,292404.000000
1406.016679,0.220911,484521.000000,291341.000000
1409.313620,0.222662,485069.000000,290497.000000
1412.606208,0.225211,485477.000000,289040.000000
1415.894445,0.228727,485710.000000,286847.000000
1419.178328,0.233645,486186.000000,283895.000000
1422.457859,0.239157,487691.000000,281182.000000
1426.823796,0.248252,489071.000000,276134.000000
1430.093171,0.256924,490374.000000,271396.000000
1433.358193,0.266391,491971.000000,266409.000000
1436.618863,0.276466,493431.000000,261072.000000
1439.875180,0.288427,495220.000000,254901.000000
1443.127144,0.300632,496699.000000,248577.000000
1446.374756,0.313498,498105.000000,242004.000000
