Method:,Column 1,,
Host Date-Time:,15/1/21 @ 15:16:42,,
Header Version:,1,,
System Temp hundredths:,2802,,
Detector Temp hundredths:,2441,,
Humidity hundredths:,262,,
Lamp PD:,3657,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1368.347147,0.236035,504705.000000,293091.000000
1371.693417,0.238499,502623.000000,290231.000000
1375.035335,0.237658,499288.000000,288864.000000
1378.372901,0.234375,496007.000000,289143.000000
1381.706114,0.231985,493126.000000,289050.000000
1385.034974,0.230087,489992.000000,288471.000000
1388.359481,0.230815,487730.000000,286658.000000
1391.679637,0.231728,486234.000000,285179.000000
1396.099739,0.230810,485318.000000,285244.000000
1399.409738,0.229835,485002.000000,285699.000000
1402.715385,0.227365,484535.000000,287052.000000
1406.016679,0.225463,484521.000000,288303.000000
1409.313620,0.224132,485069.000000,289515.000000
1412.606208,0.222671,485477.000000,290735.000000
1415.894445,0.222699,485710.000000,290856.000000
1419.178328,0.223224,486186.000000,290789.000000
1422.457859,0.224140,487691.000000,291075.000000
1426.823796,0.224300,489071.000000,291791.000000
1430.093171,0.223230,490374.000000,293290.000000
1433.358193,0.221635,491971.000000,295328.000000
1436.618863,0.221004,493431.000000,296635.000000
1439.875180,0.220564,495220.000000,298012.000000
1443.127144,0.221226,496699.000000,298447.000000
1446.374756,0.222997,498105.000000,298074.000000
1449.618016,0.224170,499484.000000,298093.000000
1453.935591,0.224469,501051.000000,298822.000000
1457.168694,0.224181,501839.000000,299491.000000
1460.397445,0.223783,502305.000000,300044.000000
1463.621843,0.223256,502914.000000,300772.000000
1466.841888,0.222719,502990.000000,301190.000000
1470.057581,0.221449,502944.000000,302044.000000
1473.268921,0.221006,502843.000000,302292.000000
1476.475909,0.219724,502522.000000,302992.000000
1479.678544,0.219432,501687.000000,302692.000000
1483.941954,0.218501,500616.000000,302694.000000
1487.134433,0.219261,499704.000000,301614.000000
1490.322559,0.218513,498255.000000,301258.000000
1493.506333,0.219673,496773.000000,299561.000000
1496.685754,0.219038,495016.000000,298938.000000
1499.860823,0.219201,492977.000000,297595.000000
1503.031539,0.220298,491156.000000,295748.000000
1506.197903,0.220972,489004.000000,293995.000000
1509.359914,0.222014,486639.000000,291872.000000
1513.569158,0.224073,482899.000000,288259.000000
1516.721012,0.225151,479678.000000,285627.000000
1519.868515,0.226791,476890.000000,282896.000000
1523.011664,0.227856,473405.000000,280141.000000
1526.150462,0.230200,470037.000000,276651.000000
1529.284906,0.230871,466420.000000,274098.000000
1532.414998,0.231924,462360.000000,271054.000000
1535.540737,0.234160,457987.000000,267112.000000
