Method:,Column 1,,
Host Date-Time:,10/12/20 @ 10:43:8,,
Header Version:,1,,
System Temp hundredths:,2459,,
Detector Temp hundredths:,2280,,
Humidity hundredths:,1407,,
Lamp PD:,3676,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.184243,91207.000000,59674.000000
905.391135,0.178989,100140.000000,66316.000000
909.293086,0.176137,108241.000000,72153.000000
913.190685,0.178061,116884.000000,77570.000000
917.083931,0.178545,127518.000000,84533.000000
920.972825,0.177668,140036.000000,93019.000000
926.151245,0.176438,160442.000000,106876.000000
930.029983,0.175081,176924.000000,118224.000000
933.904368,0.170895,192482.000000,129866.000000
937.774400,0.167414,207019.000000,140798.000000
941.640080,0.165245,220214.000000,150522.000000
945.501407,0.163883,231781.000000,158926.000000
949.358382,0.160787,242385.000000,167386.000000
953.211004,0.160153,252506.000000,174630.000000
957.059273,0.158777,262404.000000,182051.000000
962.183529,0.157640,275634.000000,191731.000000
966.021642,0.156161,285310.000000,199139.000000
969.855403,0.155578,294814.000000,206049.000000
973.684811,0.154779,303951.000000,212826.000000
977.509867,0.154317,312634.000000,219139.000000
981.330570,0.154584,320588.000000,224576.000000
985.146920,0.154492,327227.000000,229275.000000
988.958918,0.155350,332863.000000,232764.000000
992.766563,0.155870,337748.000000,235897.000000
997.836653,0.157340,342296.000000,238266.000000
1001.634142,0.159019,344897.000000,239150.000000
1005.427279,0.159161,346533.000000,240206.000000
1009.216063,0.160100,347364.000000,240262.000000
1013.000494,0.162300,347610.000000,239217.000000
1016.780573,0.163172,347104.000000,238390.000000
1020.556299,0.163715,346356.000000,237579.000000
1024.327673,0.164075,345314.000000,236668.000000
1028.094694,0.164065,344068.000000,235819.000000
1033.110618,0.164298,342670.000000,234735.000000
1036.867483,0.164533,341443.000000,233768.000000
1040.619996,0.164373,340565.000000,233253.000000
1044.368155,0.163920,339602.000000,232836.000000
1048.111963,0.163538,339187.000000,232756.000000
1051.851417,0.162607,338370.000000,232694.000000
1055.586519,0.162084,337732.000000,232535.000000
1059.317269,0.161381,337270.000000,232593.000000
1063.043666,0.161049,337131.000000,232675.000000
1068.005424,0.160839,337198.000000,232834.000000
1071.721665,0.160864,337936.000000,233330.000000
1075.433553,0.160913,338814.000000,233910.000000
1079.141089,0.160822,339835.000000,234664.000000
1082.844272,0.160456,341087.000000,235727.000000
1086.543103,0.160416,342595.000000,236791.000000
1090.237580,0.159585,344242.000000,238385.000000
1093.927706,0.159548,346318.000000,239843.000000
1097.613478,0.159759,348067.000000,240937.000000
1102.521071,0.159011,350874.000000,243299.000000
1106.196688,0.157562,352530.000000,245264.000000
1109.867952,0.157263,354393.000000,246730.000000
1113.534864,0.156587,356181.000000,248361.000000
1117.197422,0.155063,357783.000000,250355.000000
1120.855629,0.155071,359117.000000,251284.000000
1124.509482,0.153777,360790.000000,253208.000000
1128.158984,0.153766,361832.000000,253946.000000
1131.804132,0.153755,363284.000000,254971.000000
1136.657559,0.154196,364834.000000,255799.000000
