Method:,Column 1,,
Host Date-Time:,15/1/21 @ 14:50:11,,
Header Version:,1,,
System Temp hundredths:,2532,,
Detector Temp hundredths:,2104,,
Humidity hundredths:,508,,
Lamp PD:,3662,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.103541,91207.000000,71860.000000
905.391135,0.099984,100140.000000,79547.000000
909.293086,0.097597,108241.000000,86456.000000
913.190685,0.095279,116884.000000,93859.000000
917.083931,0.098093,127518.000000,101737.000000
920.972825,0.095141,140036.000000,112486.000000
926.151245,0.092244,160442.000000,129740.000000
930.029983,0.091616,176924.000000,143275.000000
933.904368,0.087755,192482.000000,157266.000000
937.774400,0.083100,207019.000000,170966.000000
941.640080,0.080852,220214.000000,182807.000000
945.501407,0.078238,231781.000000,193571.000000
949.358382,0.076118,242385.000000,203417.000000
953.211004,0.074643,252506.000000,212632.000000
957.059273,0.073405,262404.000000,221598.000000
962.183529,0.072321,275634.000000,233352.000000
966.021642,0.070768,285310.000000,242409.000000
969.855403,0.069650,294814.000000,251130.000000
973.684811,0.068465,303951.000000,259620.000000
977.509867,0.068270,312634.000000,267157.000000
981.330570,0.067497,320588.000000,274442.000000
985.146920,0.066826,327227.000000,280558.000000
988.958918,0.066299,332863.000000,285737.000000
992.766563,0.066189,337748.000000,290004.000000
997.836653,0.067076,342296.000000,293309.000000
1001.634142,0.068558,344897.000000,294531.000000
1005.427279,0.068698,346533.000000,295833.000000
1009.216063,0.069493,347364.000000,296000.000000
1013.000494,0.069899,347610.000000,295933.000000
1016.780573,0.070357,347104.000000,295191.000000
1020.556299,0.070280,346356.000000,294607.000000
1024.327673,0.071278,345314.000000,293046.000000
1028.094694,0.070859,344068.000000,292271.000000
1033.110618,0.070165,342670.000000,291549.000000
1036.867483,0.069537,341443.000000,290925.000000
1040.619996,0.069205,340565.000000,290399.000000
1044.368155,0.068836,339602.000000,289824.000000
1048.111963,0.068125,339187.000000,289944.000000
1051.851417,0.067893,338370.000000,289400.000000
1055.586519,0.066882,337732.000000,289528.000000
1059.317269,0.065954,337270.000000,289750.000000
1063.043666,0.065193,337131.000000,290139.000000
1068.005424,0.066643,337198.000000,289229.000000
1071.721665,0.065877,337936.000000,290374.000000
1075.433553,0.066445,338814.000000,290748.000000
1079.141089,0.066743,339835.000000,291424.000000
1082.844272,0.066732,341087.000000,292505.000000
1086.543103,0.066701,342595.000000,293819.000000
1090.237580,0.066622,344242.000000,295285.000000
1093.927706,0.066986,346318.000000,296817.000000
1097.613478,0.066915,348067.000000,298365.000000
1102.521071,0.066645,350874.000000,300958.000000
1106.196688,0.065120,352530.000000,303442.000000
1109.867952,0.065457,354393.000000,304809.000000
1113.534864,0.065668,356181.000000,306198.000000
1117.197422,0.065132,357783.000000,307955.000000
1120.855629,0.064476,359117.000000,309571.000000
1124.509482,0.065611,360790.000000,310201.000000
1128.158984,0.066048,361832.000000,310784.000000
1131.804132,0.067216,363284.000000,311193.000000
1136.657559,0.069586,364834.000000,310820.000000
1140.292552,0.071114,365983.000000,310704.000000
1143.923192,0.073222,367533.000000,310509.000000
1147.549479,0.075152,368590.000000,310021.000000
1151.171414,0.077717,369591.000000,309033.000000
1154.788996,0.081126,370608.000000,307460.000000
1158.402225,0.085926,371792.000000,305052.000000
1162.011102,0.089119,373034.000000,303829.000000
1165.615627,0.093715,374075.000000,301470.000000
1170.414889,0.098523,375979.000000,299668.000000
1174.009257,0.102805,377809.000000,298172.000000
1177.599273,0.107055,379926.000000,296923.000000
1181.184936,0.111647,382215.000000,295570.000000
1184.766246,0.114928,385401.000000,295791.000000
1188.343204,0.116379,388776.000000,297386.000000
1191.915809,0.118127,392428.000000,298974.000000
1195.484062,0.116621,395791.000000,302583.000000
1199.047962,0.115288,399382.000000,306267.000000
1203.793059,0.113171,405070.000000,312147.000000
1207.346803,0.111467,409052.000000,316455.000000
1210.896194,0.110688,412904.000000,320008.000000
1214.441233,0.109282,416885.000000,324141.000000
1217.981920,0.107874,421320.000000,328653.000000
1221.518253,0.106509,425284.000000,332790.000000
1225.050234,0.103777,429183.000000,337960.000000
1228.577863,0.102364,433814.000000,342720.000000
1232.101139,0.100861,438565.000000,347675.000000
1236.792070,0.100441,444300.000000,352562.000000
1240.305190,0.100156,448060.000000,355779.000000
1243.813957,0.100977,452297.000000,358465.000000
1247.318372,0.101445,455893.000000,360926.000000
1250.818434,0.101974,459082.000000,363008.000000
1254.314143,0.103639,462510.000000,364319.000000
1257.805500,0.104534,466532.000000,366731.000000
1261.292505,0.105043,470752.000000,369615.000000
1264.775157,0.106365,474874.000000,371718.000000
1269.411922,0.105767,480696.000000,376794.000000
1272.884417,0.106104,486062.000000,380704.000000
1276.352561,0.105388,490790.000000,385042.000000
1279.816351,0.104319,494557.000000,388953.000000
1283.275789,0.103604,498768.000000,392911.000000
1286.730874,0.102601,502917.000000,397096.000000
1290.181607,0.101080,506587.000000,401397.000000
1293.627987,0.100575,509239.000000,403968.000000
1297.070015,0.100053,511855.000000,406531.000000
1301.652615,0.099001,515095.000000,410097.000000
1305.084486,0.098834,516531.000000,411398.000000
1308.512005,0.098834,517299.000000,412010.000000
