Method:,Column 1,,
Host Date-Time:,15/1/21 @ 10:54:39,,
Header Version:,1,,
System Temp hundredths:,2794,,
Detector Temp hundredths:,2353,,
Humidity hundredths:,553,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.150785,91207.000000,64453.000000
905.391135,0.143716,100140.000000,71927.000000
909.293086,0.144200,108241.000000,77659.000000
913.190685,0.144604,116884.000000,83782.000000
917.083931,0.145829,127518.000000,91147.000000
920.972825,0.146835,140036.000000,99863.000000
926.151245,0.145535,160442.000000,114758.000000
930.029983,0.143064,176924.000000,127269.000000
933.904368,0.139088,192482.000000,139734.000000
937.774400,0.135698,207019.000000,151465.000000
941.640080,0.131946,220214.000000,162517.000000
945.501407,0.129630,231781.000000,171968.000000
949.358382,0.127310,242385.000000,180799.000000
953.211004,0.127182,252506.000000,188404.000000
957.059273,0.127000,262404.000000,195871.000000
962.183529,0.125112,275634.000000,206643.000000
966.021642,0.123918,285310.000000,214486.000000
969.855403,0.124141,294814.000000,221517.000000
973.684811,0.124688,303951.000000,228095.000000
977.509867,0.123097,312634.000000,235472.000000
981.330570,0.123712,320588.000000,241121.000000
985.146920,0.123536,327227.000000,246214.000000
988.958918,0.123999,332863.000000,250188.000000
992.766563,0.124788,337748.000000,253399.000000
997.836653,0.125814,342296.000000,256205.000000
1001.634142,0.126519,344897.000000,257733.000000
1005.427279,0.127098,346533.000000,258611.000000
1009.216063,0.127740,347364.000000,258848.000000
1013.000494,0.127751,347610.000000,259025.000000
1016.780573,0.128986,347104.000000,257913.000000
1020.556299,0.127450,346356.000000,258269.000000
1024.327673,0.128399,345314.000000,256930.000000
1028.094694,0.128810,344068.000000,255761.000000
1033.110618,0.129081,342670.000000,254563.000000
1036.867483,0.128326,341443.000000,254093.000000
1040.619996,0.127298,340565.000000,254040.000000
1044.368155,0.128221,339602.000000,252784.000000
1048.111963,0.128125,339187.000000,252531.000000
1051.851417,0.127766,338370.000000,252131.000000
1055.586519,0.127749,337732.000000,251665.000000
1059.317269,0.127457,337270.000000,251490.000000
1063.043666,0.126871,337131.000000,251726.000000
1068.005424,0.126600,337198.000000,251933.000000
1071.721665,0.126872,337936.000000,252326.000000
1075.433553,0.126879,338814.000000,252978.000000
1079.141089,0.127026,339835.000000,253654.000000
1082.844272,0.127599,341087.000000,254253.000000
1086.543103,0.127341,342595.000000,255529.000000
1090.237580,0.127722,344242.000000,256532.000000
1093.927706,0.127058,346318.000000,258474.000000
1097.613478,0.127271,348067.000000,259652.000000
1102.521071,0.127987,350874.000000,261315.000000
1106.196688,0.126876,352530.000000,263221.000000
1109.867952,0.126874,354393.000000,264613.000000
1113.534864,0.125309,356181.000000,266908.000000
1117.197422,0.124847,357783.000000,268394.000000
1120.855629,0.123892,359117.000000,269988.000000
1124.509482,0.123992,360790.000000,271183.000000
1128.158984,0.122429,361832.000000,272947.000000
1131.804132,0.123745,363284.000000,273213.000000
1136.657559,0.125432,364834.000000,273315.000000
1140.292552,0.127664,365983.000000,272770.000000
1143.923192,0.129560,367533.000000,272732.000000
1147.549479,0.133094,368590.000000,271300.000000
1151.171414,0.135898,369591.000000,270286.000000
1154.788996,0.139723,370608.000000,268653.000000
1158.402225,0.144637,371792.000000,266479.000000
1162.011102,0.149431,373034.000000,264434.000000
1165.615627,0.154899,374075.000000,261854.000000
1170.414889,0.160347,375979.000000,259906.000000
1174.009257,0.163616,377809.000000,259213.000000
1177.599273,0.166010,379926.000000,259232.000000
1181.184936,0.167323,382215.000000,260007.000000
1184.766246,0.167839,385401.000000,261863.000000
1188.343204,0.169575,388776.000000,263102.000000
1191.915809,0.171615,392428.000000,264329.000000
1195.484062,0.174092,395791.000000,265078.000000
1199.047962,0.176275,399382.000000,266142.000000
1203.793059,0.178464,405070.000000,268575.000000
1207.346803,0.177464,409052.000000,271841.000000
1210.896194,0.176324,412904.000000,275122.000000
1214.441233,0.173232,416885.000000,279759.000000
1217.981920,0.169880,421320.000000,284926.000000
1221.518253,0.166158,425284.000000,290082.000000
