Method:,Column 1,,
Host Date-Time:,15/1/21 @ 10:58:46,,
Header Version:,1,,
System Temp hundredths:,2944,,
Detector Temp hundredths:,2494,,
Humidity hundredths:,457,,
Lamp PD:,3653,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.082674,91207.000000,75397.000000
905.391135,0.075734,100140.000000,84115.000000
909.293086,0.072316,108241.000000,91638.000000
913.190685,0.072827,116884.000000,98839.000000
917.083931,0.074980,127518.000000,107298.000000
920.972825,0.075198,140036.000000,117772.000000
926.151245,0.073712,160442.000000,135396.000000
930.029983,0.073058,176924.000000,149530.000000
933.904368,0.068406,192482.000000,164431.000000
937.774400,0.065085,207019.000000,178207.000000
941.640080,0.062160,220214.000000,190847.000000
945.501407,0.059007,231781.000000,202335.000000
949.358382,0.055843,242385.000000,213139.000000
953.211004,0.055123,252506.000000,222407.000000
957.059273,0.053582,262404.000000,231947.000000
962.183529,0.052722,275634.000000,244124.000000
966.021642,0.050885,285310.000000,253765.000000
969.855403,0.049421,294814.000000,263104.000000
973.684811,0.048318,303951.000000,271948.000000
977.509867,0.047130,312634.000000,280483.000000
981.330570,0.045941,320588.000000,288407.000000
985.146920,0.044852,327227.000000,295119.000000
988.958918,0.043829,332863.000000,300910.000000
992.766563,0.042647,337748.000000,306158.000000
997.836653,0.041431,342296.000000,311151.000000
1001.634142,0.040884,344897.000000,313910.000000
1005.427279,0.039813,346533.000000,316178.000000
1009.216063,0.038400,347364.000000,317969.000000
1013.000494,0.037522,347610.000000,318838.000000
1016.780573,0.037230,347104.000000,318588.000000
1020.556299,0.036104,346356.000000,318727.000000
1024.327673,0.035491,345314.000000,318217.000000
1028.094694,0.035549,344068.000000,317026.000000
1033.110618,0.035446,342670.000000,315813.000000
1036.867483,0.034757,341443.000000,315182.000000
1040.619996,0.035809,340565.000000,313611.000000
1044.368155,0.035477,339602.000000,312963.000000
1048.111963,0.037354,339187.000000,311233.000000
1051.851417,0.037213,338370.000000,310584.000000
1055.586519,0.037906,337732.000000,309504.000000
1059.317269,0.038549,337270.000000,308623.000000
1063.043666,0.039073,337131.000000,308124.000000
1068.005424,0.040450,337198.000000,307210.000000
1071.721665,0.040960,337936.000000,307521.000000
1075.433553,0.041473,338814.000000,307956.000000
1079.141089,0.041805,339835.000000,308648.000000
1082.844272,0.041925,341087.000000,309699.000000
1086.543103,0.042891,342595.000000,310377.000000
1090.237580,0.043717,344242.000000,311277.000000
1093.927706,0.043612,346318.000000,313230.000000
1097.613478,0.044639,348067.000000,314068.000000
1102.521071,0.046943,350874.000000,314926.000000
1106.196688,0.049687,352530.000000,314419.000000
1109.867952,0.052579,354393.000000,313983.000000
1113.534864,0.055816,356181.000000,313224.000000
1117.197422,0.058303,357783.000000,312836.000000
1120.855629,0.060743,359117.000000,312243.000000
1124.509482,0.062863,360790.000000,312170.000000
1128.158984,0.066641,361832.000000,310360.000000
1131.804132,0.070133,363284.000000,309110.000000
1136.657559,0.072860,364834.000000,308486.000000
1140.292552,0.071437,365983.000000,310473.000000
1143.923192,0.067843,367533.000000,314379.000000
1147.549479,0.063411,368590.000000,318517.000000
1151.171414,0.059343,369591.000000,322388.000000
1154.788996,0.057141,370608.000000,324918.000000
1158.402225,0.056408,371792.000000,326507.000000
1162.011102,0.056129,373034.000000,327808.000000
1165.615627,0.056133,374075.000000,328720.000000
1170.414889,0.056377,375979.000000,330207.000000
1174.009257,0.056295,377809.000000,331877.000000
1177.599273,0.055856,379926.000000,334074.000000
1181.184936,0.055168,382215.000000,336620.000000
1184.766246,0.053523,385401.000000,340714.000000
1188.343204,0.052116,388776.000000,344813.000000
1191.915809,0.049966,392428.000000,349779.000000
1195.484062,0.047492,395791.000000,354792.000000
1199.047962,0.045960,399382.000000,359276.000000
1203.793059,0.045908,405070.000000,364437.000000
1207.346803,0.046044,409052.000000,367904.000000
1210.896194,0.046212,412904.000000,371225.000000
1214.441233,0.046620,416885.000000,374452.000000
1217.981920,0.048032,421320.000000,377207.000000
1221.518253,0.048729,425284.000000,380146.000000
1225.050234,0.048577,429183.000000,383765.000000
1228.577863,0.048666,433814.000000,387827.000000
1232.101139,0.048390,438565.000000,392323.000000
1236.792070,0.048273,444300.000000,397561.000000
1240.305190,0.048319,448060.000000,400883.000000
1243.813957,0.049112,452297.000000,403935.000000
1247.318372,0.049574,455893.000000,406714.000000
1250.818434,0.050365,459082.000000,408814.000000
1254.314143,0.051699,462510.000000,410603.000000
1257.805500,0.052671,466532.000000,413248.000000
1261.292505,0.053797,470752.000000,415906.000000
1264.775157,0.054507,474874.000000,418862.000000
1269.411922,0.054852,480696.000000,423661.000000
1272.884417,0.055271,486062.000000,427977.000000
1276.352561,0.055699,490790.000000,431715.000000
1279.816351,0.056134,494557.000000,434593.000000
1283.275789,0.056393,498768.000000,438032.000000
1286.730874,0.057179,502917.000000,440877.000000
1290.181607,0.058249,506587.000000,443001.000000
1293.627987,0.059379,509239.000000,444163.000000
1297.070015,0.060176,511855.000000,445626.000000
1301.652615,0.061238,515095.000000,447352.000000
1305.084486,0.062383,516531.000000,447418.000000
1308.512005,0.062374,517299.000000,448092.000000
1311.935171,0.062601,518312.000000,448735.000000
1315.353985,0.063044,518822.000000,448719.000000
1318.768446,0.062531,518589.000000,449048.000000
1322.178555,0.061988,518088.000000,449175.000000
1325.584311,0.061019,517825.000000,449950.000000
1328.985715,0.061243,517743.000000,449647.000000
1333.514148,0.061168,517179.000000,449234.000000
1336.905396,0.060719,516086.000000,448749.000000
1340.292291,0.061091,515807.000000,448122.000000
1343.674833,0.060673,515261.000000,448079.000000
1347.053022,0.061670,514494.000000,446386.000000
1350.426860,0.062715,513196.000000,444189.000000
1353.796344,0.063787,511820.000000,441906.000000
1357.161476,0.063710,510453.000000,440804.000000
1360.522255,0.063948,508989.000000,439299.000000
1364.996523,0.064266,506578.000000,436898.000000
1368.347147,0.064703,504705.000000,434845.000000
1371.693417,0.065423,502623.000000,432334.000000
1375.035335,0.066338,499288.000000,428561.000000
1378.372901,0.066621,496007.000000,425468.000000
1381.706114,0.067113,493126.000000,422518.000000
1385.034974,0.066738,489992.000000,420195.000000
1388.359481,0.068249,487730.000000,416803.000000
1391.679637,0.069317,486234.000000,414504.000000
1396.099739,0.070556,485318.000000,412544.000000
1399.409738,0.070656,485002.000000,412181.000000
1402.715385,0.069833,484535.000000,412565.000000
1406.016679,0.069120,484521.000000,413231.000000
1409.313620,0.067378,485069.000000,415361.000000
1412.606208,0.066008,485477.000000,417024.000000
1415.894445,0.064347,485710.000000,418823.000000
1419.178328,0.063098,486186.000000,420440.000000
1422.457859,0.062279,487691.000000,422538.000000
1426.823796,0.062028,489071.000000,423979.000000
1430.093171,0.060859,490374.000000,426254.000000
1433.358193,0.060048,491971.000000,428441.000000
1436.618863,0.059487,493431.000000,430268.000000
1439.875180,0.058107,495220.000000,433203.000000
1443.127144,0.057671,496699.000000,434933.000000
1446.374756,0.056728,498105.000000,437112.000000
1449.618016,0.056327,499484.000000,438727.000000
1453.935591,0.055787,501051.000000,440651.000000
1457.168694,0.056190,501839.000000,440935.000000
1460.397445,0.056206,502305.000000,441328.000000
1463.621843,0.056951,502914.000000,441106.000000
1466.841888,0.057492,502990.000000,440623.000000
1470.057581,0.058611,502944.000000,439449.000000
1473.268921,0.059681,502843.000000,438280.000000
1476.475909,0.060640,502522.000000,437034.000000
1479.678544,0.062029,501687.000000,434914.000000
1483.941954,0.063848,500616.000000,432172.000000
1487.134433,0.066202,499704.000000,429053.000000
1490.322559,0.068945,498255.000000,425115.000000
1493.506333,0.072647,496773.000000,420253.000000
1496.685754,0.077758,495016.000000,413867.000000
1499.860823,0.082775,492977.000000,407429.000000
1503.031539,0.088860,491156.000000,400276.000000
1506.197903,0.095815,489004.000000,392191.000000
1509.359914,0.101779,486639.000000,384971.000000
1513.569158,0.109496,482899.000000,375284.000000
1516.721012,0.114958,479678.000000,368122.000000
1519.868515,0.119331,476890.000000,362316.000000
1523.011664,0.122342,473405.000000,357183.000000
1526.150462,0.124375,470037.000000,352986.000000
1529.284906,0.125631,466420.000000,349258.000000
1532.414998,0.127247,462360.000000,344932.000000
1535.540737,0.128898,457987.000000,340373.000000
1538.662124,0.130399,453227.000000,335673.000000
1542.817202,0.132952,447406.000000,329420.000000
1545.928433,0.134204,442064.000000,324550.000000
1549.035311,0.135516,436619.000000,319585.000000
1552.137837,0.138289,431327.000000,313702.000000
1555.236010,0.141702,425604.000000,307117.000000
1558.329830,0.145093,419782.000000,300560.000000
1561.419298,0.147732,413789.000000,294474.000000
1564.504413,0.151187,407625.000000,287789.000000
1567.585176,0.152474,401258.000000,282455.000000
1571.686088,0.152697,392494.000000,276144.000000
1574.756695,0.151258,386060.000000,272519.000000
1577.822949,0.151369,379068.000000,267515.000000
1580.884850,0.150667,372237.000000,263119.000000
1583.942399,0.151188,365532.000000,258070.000000
1586.995595,0.152783,358457.000000,252147.000000
1590.044439,0.153775,351337.000000,246575.000000
1593.088930,0.155966,343946.000000,240173.000000
1596.129068,0.157689,337142.000000,234490.000000
1600.175815,0.159900,327373.000000,226539.000000
1603.205798,0.161149,320074.000000,220852.000000
1606.231427,0.162657,312860.000000,215126.000000
1609.252704,0.164368,305444.000000,209201.000000
1612.269629,0.163492,298028.000000,204534.000000
1615.282201,0.165304,290981.000000,198866.000000
1618.290420,0.167625,283873.000000,192974.000000
1621.294287,0.170329,276705.000000,186934.000000
1624.293801,0.172702,269751.000000,181243.000000
1628.286383,0.179267,260451.000000,172369.000000
1631.275741,0.185327,253416.000000,165389.000000
1634.260747,0.194522,246537.000000,157529.000000
1637.241400,0.202661,239613.000000,150262.000000
1640.217700,0.205969,232837.000000,144905.000000
1643.189648,0.204115,225975.000000,141236.000000
1646.157243,0.199326,219107.000000,138462.000000
1649.120486,0.193554,211528.000000,135461.000000
1652.079376,0.187772,203786.000000,132252.000000
1656.017792,0.185970,192538.000000,125472.000000
1658.966526,0.185747,183108.000000,119388.000000
1661.910907,0.187255,172102.000000,111823.000000
1664.850936,0.186043,159840.000000,104146.000000
1667.786612,0.183596,145318.000000,95219.000000
1670.717936,0.174529,129601.000000,86712.000000
1673.644907,0.163522,113097.000000,77612.000000
1676.567525,0.144595,96798.000000,69386.000000
1679.485791,0.137823,82152.000000,59813.000000
1683.370042,0.120572,65700.000000,49773.000000
1686.278151,0.124604,55737.000000,41835.000000
1689.181909,0.116105,47483.000000,36344.000000
1692.081313,0.119151,40873.000000,31066.000000
1694.976365,0.114223,35375.000000,27194.000000
1697.867065,0.104151,30676.000000,24135.000000
1700.753412,0.096405,26860.000000,21513.000000
