Method:,Column 1,,
Host Date-Time:,15/1/21 @ 11:0:37,,
Header Version:,1,,
System Temp hundredths:,2985,,
Detector Temp hundredths:,2550,,
Humidity hundredths:,394,,
Lamp PD:,3652,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.061347,91207.000000,79192.000000
905.391135,0.056387,100140.000000,87947.000000
909.293086,0.051994,108241.000000,96028.000000
913.190685,0.052014,116884.000000,103691.000000
917.083931,0.055408,127518.000000,112244.000000
920.972825,0.054372,140036.000000,123557.000000
926.151245,0.055142,160442.000000,141311.000000
930.029983,0.052610,176924.000000,156739.000000
933.904368,0.049119,192482.000000,171898.000000
937.774400,0.044062,207019.000000,187046.000000
941.640080,0.041188,220214.000000,200289.000000
945.501407,0.039168,231781.000000,211792.000000
949.358382,0.036575,242385.000000,222808.000000
953.211004,0.035582,252506.000000,232643.000000
957.059273,0.034798,262404.000000,242199.000000
962.183529,0.033808,275634.000000,254991.000000
966.021642,0.032591,285310.000000,264683.000000
969.855403,0.031896,294814.000000,273938.000000
973.684811,0.031028,303951.000000,282993.000000
977.509867,0.030380,312634.000000,291512.000000
981.330570,0.030186,320588.000000,299062.000000
985.146920,0.030095,327227.000000,305319.000000
988.958918,0.029814,332863.000000,310779.000000
992.766563,0.030994,337748.000000,314484.000000
997.836653,0.032431,342296.000000,317666.000000
1001.634142,0.033050,344897.000000,319624.000000
1005.427279,0.033632,346533.000000,320710.000000
1009.216063,0.032560,347364.000000,322274.000000
1013.000494,0.030805,347610.000000,323808.000000
1016.780573,0.029309,347104.000000,324452.000000
1020.556299,0.027066,346356.000000,325429.000000
1024.327673,0.024871,345314.000000,326094.000000
1028.094694,0.022898,344068.000000,326397.000000
1033.110618,0.020865,342670.000000,326596.000000
1036.867483,0.020217,341443.000000,325913.000000
1040.619996,0.019313,340565.000000,325752.000000
1044.368155,0.019368,339602.000000,324790.000000
1048.111963,0.019833,339187.000000,324046.000000
1051.851417,0.020019,338370.000000,323127.000000
1055.586519,0.020865,337732.000000,321890.000000
1059.317269,0.020704,337270.000000,321569.000000
1063.043666,0.021230,337131.000000,321047.000000
1068.005424,0.022206,337198.000000,320390.000000
1071.721665,0.023446,337936.000000,320176.000000
1075.433553,0.024362,338814.000000,320331.000000
1079.141089,0.024962,339835.000000,320853.000000
1082.844272,0.025376,341087.000000,321728.000000
1086.543103,0.026257,342595.000000,322496.000000
1090.237580,0.027382,344242.000000,323208.000000
1093.927706,0.027553,346318.000000,325029.000000
1097.613478,0.029568,348067.000000,325158.000000
1102.521071,0.032321,350874.000000,325709.000000
1106.196688,0.034694,352530.000000,325463.000000
1109.867952,0.036758,354393.000000,325632.000000
1113.534864,0.039713,356181.000000,325056.000000
1117.197422,0.041632,357783.000000,325078.000000
1120.855629,0.041640,359117.000000,326284.000000
1124.509482,0.042696,360790.000000,327008.000000
1128.158984,0.042701,361832.000000,327949.000000
1131.804132,0.043317,363284.000000,328798.000000
1136.657559,0.045411,364834.000000,328613.000000
1140.292552,0.047191,365983.000000,328299.000000
1143.923192,0.049339,367533.000000,328063.000000
1147.549479,0.050551,368590.000000,328090.000000
1151.171414,0.052773,369591.000000,327302.000000
1154.788996,0.054193,370608.000000,327131.000000
1158.402225,0.055645,371792.000000,327081.000000
1162.011102,0.055327,373034.000000,328414.000000
1165.615627,0.054250,374075.000000,330148.000000
1170.414889,0.050595,375979.000000,334633.000000
1174.009257,0.048972,377809.000000,337521.000000
1177.599273,0.045907,379926.000000,341816.000000
1181.184936,0.043263,382215.000000,345975.000000
1184.766246,0.041065,385401.000000,350629.000000
1188.343204,0.038616,388776.000000,355700.000000
1191.915809,0.036237,392428.000000,361013.000000
1195.484062,0.034284,395791.000000,365748.000000
1199.047962,0.032497,399382.000000,370588.000000
1203.793059,0.031239,405070.000000,376956.000000
1207.346803,0.030038,409052.000000,381716.000000
1210.896194,0.030339,412904.000000,385044.000000
1214.441233,0.030300,416885.000000,388791.000000
1217.981920,0.030488,421320.000000,392757.000000
1221.518253,0.031188,425284.000000,395814.000000
1225.050234,0.031811,429183.000000,398870.000000
1228.577863,0.032955,433814.000000,402113.000000
1232.101139,0.034991,438565.000000,404616.000000
1236.792070,0.037007,444300.000000,408009.000000
1240.305190,0.037592,448060.000000,410908.000000
