Method:,Column 1,,
Host Date-Time:,14/1/21 @ 12:8:17,,
Header Version:,1,,
System Temp hundredths:,2994,,
Detector Temp hundredths:,2530,,
Humidity hundredths:,955,,
Lamp PD:,3650,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.094628,91207.000000,73350.000000
905.391135,0.089088,100140.000000,81568.000000
909.293086,0.086635,108241.000000,88666.000000
913.190685,0.089031,116884.000000,95219.000000
917.083931,0.091417,127518.000000,103313.000000
920.972825,0.092858,140036.000000,113079.000000
926.151245,0.094742,160442.000000,128996.000000
930.029983,0.091186,176924.000000,143417.000000
933.904368,0.088219,192482.000000,157098.000000
937.774400,0.082753,207019.000000,171103.000000
941.640080,0.079943,220214.000000,183190.000000
945.501407,0.077005,231781.000000,194121.000000
949.358382,0.073490,242385.000000,204652.000000
953.211004,0.071631,252506.000000,214112.000000
957.059273,0.070239,262404.000000,223219.000000
962.183529,0.069276,275634.000000,234994.000000
966.021642,0.068057,285310.000000,243927.000000
969.855403,0.067134,294814.000000,252589.000000
973.684811,0.065869,303951.000000,261177.000000
977.509867,0.066027,312634.000000,268540.000000
981.330570,0.065443,320588.000000,275743.000000
985.146920,0.064837,327227.000000,281846.000000
988.958918,0.064128,332863.000000,287169.000000
992.766563,0.064064,337748.000000,291426.000000
997.836653,0.063038,342296.000000,296049.000000
1001.634142,0.063137,344897.000000,298231.000000
1005.427279,0.062523,346533.000000,300069.000000
1009.216063,0.061493,347364.000000,301503.000000
1013.000494,0.061101,347610.000000,301989.000000
1016.780573,0.060984,347104.000000,301631.000000
1020.556299,0.060678,346356.000000,301193.000000
1024.327673,0.060508,345314.000000,300404.000000
1028.094694,0.060572,344068.000000,299276.000000
1033.110618,0.060886,342670.000000,297845.000000
