Method:,Column 1,,
Host Date-Time:,14/1/21 @ 15:2:55,,
Header Version:,1,,
System Temp hundredths:,3093,,
Detector Temp hundredths:,2695,,
Humidity hundredths:,908,,
Lamp PD:,3645,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.206782,91207.000000,56656.000000
905.391135,0.198388,100140.000000,63419.000000
909.293086,0.199463,108241.000000,68380.000000
913.190685,0.195727,116884.000000,74478.000000
917.083931,0.198289,127518.000000,80776.000000
920.972825,0.199022,140036.000000,88556.000000
926.151245,0.197511,160442.000000,101814.000000
930.029983,0.198906,176924.000000,111913.000000
933.904368,0.193631,192482.000000,123242.000000
937.774400,0.191695,207019.000000,133142.000000
941.640080,0.187196,220214.000000,143103.000000
945.501407,0.184866,231781.000000,151430.000000
949.358382,0.182440,242385.000000,159245.000000
953.211004,0.181160,252506.000000,166384.000000
957.059273,0.180204,262404.000000,173287.000000
962.183529,0.178169,275634.000000,182879.000000
966.021642,0.178359,285310.000000,189216.000000
969.855403,0.177596,294814.000000,195863.000000
973.684811,0.176649,303951.000000,202374.000000
977.509867,0.175381,312634.000000,208764.000000
981.330570,0.174947,320588.000000,214289.000000
985.146920,0.174798,327227.000000,218802.000000
988.958918,0.173926,332863.000000,223018.000000
992.766563,0.173057,337748.000000,226744.000000
997.836653,0.172463,342296.000000,230112.000000
1001.634142,0.171608,344897.000000,232317.000000
1005.427279,0.171091,346533.000000,233697.000000
1009.216063,0.169830,347364.000000,234939.000000
1013.000494,0.169149,347610.000000,235474.000000
1016.780573,0.167962,347104.000000,235775.000000
1020.556299,0.165811,346356.000000,236435.000000
1024.327673,0.165346,345314.000000,235976.000000
1028.094694,0.164522,344068.000000,235571.000000
1033.110618,0.163758,342670.000000,235027.000000
1036.867483,0.163548,341443.000000,234299.000000
1040.619996,0.164839,340565.000000,233003.000000
1044.368155,0.163933,339602.000000,232829.000000
1048.111963,0.163641,339187.000000,232701.000000
