Method:,Column 1,,
Host Date-Time:,15/1/21 @ 12:6:2,,
Header Version:,1,,
System Temp hundredths:,2475,,
Detector Temp hundredths:,2096,,
Humidity hundredths:,783,,
Lamp PD:,3665,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1368.347147,0.145338,504705.000000,361160.000000
1371.693417,0.147085,502623.000000,358226.000000
1375.035335,0.148554,499288.000000,354648.000000
1378.372901,0.149155,496007.000000,351830.000000
1381.706114,0.150687,493126.000000,348555.000000
1385.034974,0.151775,489992.000000,345473.000000
1388.359481,0.153677,487730.000000,342375.000000
1391.679637,0.156205,486234.000000,339344.000000
1396.099739,0.159249,485318.000000,336339.000000
1399.409738,0.162188,485002.000000,333853.000000
1402.715385,0.165003,484535.000000,331377.000000
1406.016679,0.168657,484521.000000,328591.000000
1409.313620,0.173014,485069.000000,325679.000000
1412.606208,0.177286,485477.000000,322762.000000
1415.894445,0.182932,485710.000000,318746.000000
1419.178328,0.189791,486186.000000,314059.000000
1422.457859,0.198147,487691.000000,309028.000000
1426.823796,0.209395,489071.000000,301979.000000
1430.093171,0.218463,490374.000000,296527.000000
1433.358193,0.228203,491971.000000,290895.000000
1436.618863,0.236388,493431.000000,286311.000000
1439.875180,0.244378,495220.000000,282111.000000
1443.127144,0.251374,496699.000000,278432.000000
1446.374756,0.257496,498105.000000,275312.000000
1449.618016,0.264234,499484.000000,271824.000000
1453.935591,0.272563,501051.000000,267497.000000
1457.168694,0.280880,501839.000000,262836.000000
1460.397445,0.287904,502305.000000,258859.000000
1463.621843,0.295262,502914.000000,254819.000000
