Method:,Column 1,,
Host Date-Time:,10/12/20 @ 12:12:55,,
Header Version:,1,,
System Temp hundredths:,2876,,
Detector Temp hundredths:,2423,,
Humidity hundredths:,866,,
Lamp PD:,3658,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.224956,91207.000000,54334.000000
905.391135,0.224342,100140.000000,59740.000000
909.293086,0.219492,108241.000000,65298.000000
913.190685,0.220534,116884.000000,70343.000000
917.083931,0.225181,127518.000000,75926.000000
920.972825,0.222561,140036.000000,83884.000000
926.151245,0.224560,160442.000000,95666.000000
930.029983,0.221037,176924.000000,106353.000000
933.904368,0.216713,192482.000000,116863.000000
937.774400,0.213992,207019.000000,126479.000000
941.640080,0.210598,220214.000000,135596.000000
945.501407,0.208371,231781.000000,143452.000000
949.358382,0.206496,242385.000000,150664.000000
953.211004,0.205535,252506.000000,157303.000000
957.059273,0.203296,262404.000000,164314.000000
962.183529,0.202993,275634.000000,172719.000000
966.021642,0.202432,285310.000000,179013.000000
969.855403,0.201792,294814.000000,185249.000000
973.684811,0.202036,303951.000000,190883.000000
977.509867,0.201190,312634.000000,196719.000000
981.330570,0.201726,320588.000000,201475.000000
985.146920,0.200434,327227.000000,206260.000000
988.958918,0.201675,332863.000000,209214.000000
992.766563,0.202480,337748.000000,211891.000000
997.836653,0.202938,342296.000000,214518.000000
1001.634142,0.204109,344897.000000,215566.000000
1005.427279,0.204303,346533.000000,216492.000000
1009.216063,0.204882,347364.000000,216722.000000
1013.000494,0.205791,347610.000000,216422.000000
1016.780573,0.205469,347104.000000,216267.000000
1020.556299,0.205415,346356.000000,215828.000000
1024.327673,0.205925,345314.000000,214926.000000
1028.094694,0.205302,344068.000000,214458.000000
1033.110618,0.205147,342670.000000,213663.000000
1036.867483,0.205181,341443.000000,212881.000000
1040.619996,0.205412,340565.000000,212221.000000
1044.368155,0.204612,339602.000000,212011.000000
1048.111963,0.204435,339187.000000,211838.000000
1051.851417,0.204236,338370.000000,211425.000000
1055.586519,0.204277,337732.000000,211006.000000
1059.317269,0.204233,337270.000000,210739.000000
1063.043666,0.202860,337131.000000,211319.000000
1068.005424,0.202992,337198.000000,211297.000000
1071.721665,0.203175,337936.000000,211670.000000
1075.433553,0.202737,338814.000000,212434.000000
