Method:,Column 1,,
Host Date-Time:,10/12/20 @ 12:11:44,,
Header Version:,1,,
System Temp hundredths:,2818,,
Detector Temp hundredths:,2364,,
Humidity hundredths:,933,,
Lamp PD:,3660,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.069915,91207.000000,77645.000000
905.391135,0.061763,100140.000000,86865.000000
909.293086,0.060028,108241.000000,94268.000000
913.190685,0.057735,116884.000000,102334.000000
917.083931,0.057371,127518.000000,111738.000000
920.972825,0.057735,140036.000000,122604.000000
926.151245,0.056876,160442.000000,140748.000000
930.029983,0.054968,176924.000000,155890.000000
933.904368,0.050818,192482.000000,171227.000000
937.774400,0.046948,207019.000000,185807.000000
941.640080,0.045319,220214.000000,198393.000000
945.501407,0.043423,231781.000000,209727.000000
949.358382,0.041255,242385.000000,220420.000000
953.211004,0.038981,252506.000000,230829.000000
957.059273,0.038540,262404.000000,240121.000000
962.183529,0.037200,275634.000000,253007.000000
966.021642,0.036885,285310.000000,262079.000000
969.855403,0.035714,294814.000000,271540.000000
973.684811,0.035579,303951.000000,280043.000000
977.509867,0.035173,312634.000000,288312.000000
981.330570,0.034786,320588.000000,295911.000000
985.146920,0.033546,327227.000000,302903.000000
988.958918,0.032587,332863.000000,308801.000000
992.766563,0.032340,337748.000000,313511.000000
997.836653,0.031441,342296.000000,318391.000000
1001.634142,0.030658,344897.000000,321389.000000
1005.427279,0.029098,346533.000000,324076.000000
1009.216063,0.028067,347364.000000,325625.000000
1013.000494,0.026612,347610.000000,326949.000000
1016.780573,0.024837,347104.000000,327810.000000
1020.556299,0.024761,346356.000000,327161.000000
1024.327673,0.023331,345314.000000,327253.000000
1028.094694,0.023640,344068.000000,325840.000000
1033.110618,0.022991,342670.000000,325001.000000
1036.867483,0.022413,341443.000000,324269.000000
1040.619996,0.022065,340565.000000,323694.000000
1044.368155,0.020862,339602.000000,323674.000000
1048.111963,0.021241,339187.000000,322997.000000
1051.851417,0.019665,338370.000000,323390.000000
1055.586519,0.019617,337732.000000,322816.000000
1059.317269,0.018984,337270.000000,322845.000000
1063.043666,0.018928,337131.000000,322753.000000
1068.005424,0.019609,337198.000000,322312.000000
1071.721665,0.019966,337936.000000,322752.000000
1075.433553,0.020491,338814.000000,323199.000000
1079.141089,0.020431,339835.000000,324218.000000
1082.844272,0.021581,341087.000000,324552.000000
1086.543103,0.022243,342595.000000,325490.000000
1090.237580,0.023552,344242.000000,326071.000000
1093.927706,0.025696,346318.000000,326422.000000
1097.613478,0.027978,348067.000000,326351.000000
1102.521071,0.031982,350874.000000,325964.000000
1106.196688,0.035532,352530.000000,324836.000000
1109.867952,0.039502,354393.000000,323581.000000
1113.534864,0.042457,356181.000000,323008.000000
1117.197422,0.045345,357783.000000,322311.000000
1120.855629,0.046682,359117.000000,322518.000000
1124.509482,0.048539,360790.000000,322638.000000
1128.158984,0.049061,361832.000000,323181.000000
1131.804132,0.050444,363284.000000,323446.000000
1136.657559,0.052228,364834.000000,323495.000000
1140.292552,0.052829,365983.000000,324065.000000
1143.923192,0.054605,367533.000000,324109.000000
1147.549479,0.056058,368590.000000,323956.000000
1151.171414,0.057635,369591.000000,323658.000000
1154.788996,0.057431,370608.000000,324701.000000
1158.402225,0.058746,371792.000000,324754.000000
1162.011102,0.058539,373034.000000,325994.000000
1165.615627,0.058335,374075.000000,327057.000000
1170.414889,0.056205,375979.000000,330338.000000
1174.009257,0.052797,377809.000000,334561.000000
1177.599273,0.049303,379926.000000,339153.000000
1181.184936,0.044403,382215.000000,345068.000000
1184.766246,0.040362,385401.000000,351197.000000
1188.343204,0.036562,388776.000000,357386.000000
1191.915809,0.033882,392428.000000,362976.000000
1195.484062,0.031819,395791.000000,367830.000000
1199.047962,0.029995,399382.000000,372729.000000
1203.793059,0.028994,405070.000000,378910.000000
