Method:,Column 1,,
Host Date-Time:,17/12/20 @ 15:16:12,,
Header Version:,1,,
System Temp hundredths:,3128,,
Detector Temp hundredths:,2778,,
Humidity hundredths:,1270,,
Lamp PD:,3652,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.111605,91207.000000,70538.000000
905.391135,0.103944,100140.000000,78825.000000
909.293086,0.103137,108241.000000,85360.000000
913.190685,0.100549,116884.000000,92727.000000
917.083931,0.103872,127518.000000,100392.000000
920.972825,0.104918,140036.000000,109982.000000
926.151245,0.105020,160442.000000,125979.000000
930.029983,0.103910,176924.000000,139276.000000
933.904368,0.099253,192482.000000,153157.000000
937.774400,0.095243,207019.000000,166252.000000
941.640080,0.092391,220214.000000,178014.000000
945.501407,0.088384,231781.000000,189101.000000
949.358382,0.087696,242385.000000,198066.000000
953.211004,0.085159,252506.000000,207545.000000
957.059273,0.085136,262404.000000,215692.000000
962.183529,0.082688,275634.000000,227848.000000
966.021642,0.081785,285310.000000,236337.000000
969.855403,0.080566,294814.000000,244896.000000
973.684811,0.080620,303951.000000,252455.000000
977.509867,0.079620,312634.000000,260265.000000
981.330570,0.079770,320588.000000,266795.000000
985.146920,0.079395,327227.000000,272555.000000
988.958918,0.078230,332863.000000,277994.000000
992.766563,0.078288,337748.000000,282036.000000
997.836653,0.076621,342296.000000,286933.000000
1001.634142,0.076467,344897.000000,289216.000000
1005.427279,0.074848,346533.000000,291673.000000
1009.216063,0.073467,347364.000000,293304.000000
1013.000494,0.072689,347610.000000,294038.000000
1016.780573,0.070786,347104.000000,294899.000000
1020.556299,0.070011,346356.000000,294789.000000
1024.327673,0.069459,345314.000000,294276.000000
1028.094694,0.069104,344068.000000,293454.000000
1033.110618,0.069003,342670.000000,292330.000000
1036.867483,0.068635,341443.000000,291530.000000
1040.619996,0.067812,340565.000000,291332.000000
1044.368155,0.067118,339602.000000,290973.000000
1048.111963,0.066672,339187.000000,290916.000000
1051.851417,0.065342,338370.000000,291105.000000
