Method:,Column 1,,
Host Date-Time:,14/1/21 @ 14:37:36,,
Header Version:,1,,
System Temp hundredths:,3013,,
Detector Temp hundredths:,2575,,
Humidity hundredths:,1082,,
Lamp PD:,3648,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.139046,91207.000000,66219.000000
905.391135,0.134362,100140.000000,73493.000000
909.293086,0.135442,108241.000000,79241.000000
913.190685,0.135601,116884.000000,85537.000000
917.083931,0.139862,127518.000000,92408.000000
920.972825,0.139692,140036.000000,101519.000000
926.151245,0.139216,160442.000000,116440.000000
930.029983,0.136622,176924.000000,129171.000000
933.904368,0.132432,192482.000000,141892.000000
937.774400,0.129964,207019.000000,153478.000000
941.640080,0.126167,220214.000000,164694.000000
945.501407,0.123093,231781.000000,174576.000000
949.358382,0.121014,242385.000000,183439.000000
953.211004,0.118683,252506.000000,192127.000000
957.059273,0.117305,262404.000000,200293.000000
962.183529,0.115984,275634.000000,211032.000000
966.021642,0.115234,285310.000000,218818.000000
969.855403,0.114451,294814.000000,226515.000000
973.684811,0.113888,303951.000000,233838.000000
977.509867,0.113318,312634.000000,240834.000000
981.330570,0.113393,320588.000000,246919.000000
985.146920,0.113526,327227.000000,251955.000000
988.958918,0.113958,332863.000000,256040.000000
992.766563,0.115415,337748.000000,258927.000000
997.836653,0.116369,342296.000000,261838.000000
1001.634142,0.118062,344897.000000,262801.000000
1005.427279,0.119015,346533.000000,263469.000000
1009.216063,0.120405,347364.000000,263257.000000
1013.000494,0.121156,347610.000000,262988.000000
1016.780573,0.122344,347104.000000,261888.000000
1020.556299,0.122222,346356.000000,261397.000000
1024.327673,0.122889,345314.000000,260211.000000
1028.094694,0.123271,344068.000000,259044.000000
1033.110618,0.122997,342670.000000,258154.000000
1036.867483,0.122966,341443.000000,257248.000000
1040.619996,0.122267,340565.000000,257000.000000
1044.368155,0.121981,339602.000000,256442.000000
1048.111963,0.121447,339187.000000,256444.000000
1051.851417,0.121690,338370.000000,255683.000000
1055.586519,0.121066,337732.000000,255568.000000
1059.317269,0.119739,337270.000000,255999.000000
1063.043666,0.120209,337131.000000,255617.000000
1068.005424,0.119430,337198.000000,256127.000000
1071.721665,0.119143,337936.000000,256857.000000
1075.433553,0.119633,338814.000000,257234.000000
1079.141089,0.118976,339835.000000,258400.000000
1082.844272,0.118291,341087.000000,259761.000000
1086.543103,0.118245,342595.000000,260937.000000
1090.237580,0.118514,344242.000000,262029.000000
1093.927706,0.118075,346318.000000,263876.000000
1097.613478,0.116938,348067.000000,265904.000000
1102.521071,0.116785,350874.000000,268143.000000
1106.196688,0.115103,352530.000000,270454.000000
1109.867952,0.114854,354393.000000,272039.000000
1113.534864,0.114304,356181.000000,273758.000000
1117.197422,0.113951,357783.000000,275213.000000
1120.855629,0.111555,359117.000000,277767.000000
1124.509482,0.111817,360790.000000,278893.000000
1128.158984,0.110439,361832.000000,280587.000000
1131.804132,0.110813,363284.000000,281471.000000
1136.657559,0.111178,364834.000000,282434.000000
1140.292552,0.111354,365983.000000,283209.000000
1143.923192,0.113214,367533.000000,283193.000000
1147.549479,0.114772,368590.000000,282990.000000
1151.171414,0.116383,369591.000000,282708.000000
1154.788996,0.118847,370608.000000,281882.000000
1158.402225,0.121898,371792.000000,280803.000000
1162.011102,0.124669,373034.000000,279949.000000
1165.615627,0.127118,374075.000000,279152.000000
1170.414889,0.132087,375979.000000,277381.000000
1174.009257,0.136176,377809.000000,276119.000000
1177.599273,0.141761,379926.000000,274118.000000
1181.184936,0.147742,382215.000000,271998.000000
1184.766246,0.154918,385401.000000,269771.000000
1188.343204,0.161019,388776.000000,268337.000000
1191.915809,0.166954,392428.000000,267181.000000
1195.484062,0.169441,395791.000000,267932.000000
1199.047962,0.170765,399382.000000,269540.000000
1203.793059,0.170331,405070.000000,273652.000000
1207.346803,0.170074,409052.000000,276506.000000
1210.896194,0.169742,412904.000000,279323.000000
1214.441233,0.169806,416885.000000,281975.000000
1217.981920,0.170511,421320.000000,284512.000000
1221.518253,0.170803,425284.000000,286996.000000
1225.050234,0.170011,429183.000000,290156.000000
1228.577863,0.169912,433814.000000,293354.000000
1232.101139,0.168318,438565.000000,297657.000000
1236.792070,0.167079,444300.000000,302411.000000
1240.305190,0.167556,448060.000000,304635.000000
1243.813957,0.167846,452297.000000,307311.000000
1247.318372,0.168615,455893.000000,309206.000000
1250.818434,0.170090,459082.000000,310313.000000
1254.314143,0.170723,462510.000000,312175.000000
1257.805500,0.171881,466532.000000,314051.000000
1261.292505,0.172874,470752.000000,316168.000000
1264.775157,0.172854,474874.000000,318951.000000
1269.411922,0.171948,480696.000000,323536.000000
1272.884417,0.171752,486062.000000,327295.000000
1276.352561,0.170976,490790.000000,331070.000000
1279.816351,0.169548,494557.000000,334710.000000
1283.275789,0.168045,498768.000000,338730.000000
1286.730874,0.167397,502917.000000,342058.000000
1290.181607,0.166681,506587.000000,345122.000000
1293.627987,0.164989,509239.000000,348283.000000
1297.070015,0.162776,511855.000000,351861.000000
1301.652615,0.160573,515095.000000,355889.000000
1305.084486,0.159418,516531.000000,357831.000000
1308.512005,0.158777,517299.000000,358893.000000
1311.935171,0.157991,518312.000000,360247.000000
1315.353985,0.157583,518822.000000,360940.000000
1318.768446,0.157511,518589.000000,360838.000000
1322.178555,0.157796,518088.000000,360253.000000
1325.584311,0.158575,517825.000000,359425.000000
1328.985715,0.158728,517743.000000,359241.000000
1333.514148,0.160196,517179.000000,357639.000000
1336.905396,0.161782,516086.000000,355582.000000
1340.292291,0.163658,515807.000000,353858.000000
1343.674833,0.166192,515261.000000,351427.000000
1347.053022,0.169123,514494.000000,348544.000000
1350.426860,0.172929,513196.000000,344631.000000
1353.796344,0.177373,511820.000000,340208.000000
1357.161476,0.181374,510453.000000,336188.000000
1360.522255,0.185997,508989.000000,331674.000000
1364.996523,0.190419,506578.000000,326759.000000
1368.347147,0.192733,504705.000000,323821.000000
