Method:,Column 1,,
Host Date-Time:,14/1/21 @ 14:29:23,,
Header Version:,1,,
System Temp hundredths:,2726,,
Detector Temp hundredths:,2244,,
Humidity hundredths:,1452,,
Lamp PD:,3654,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.103481,91207.000000,71870.000000
905.391135,0.096325,100140.000000,80220.000000
909.293086,0.095332,108241.000000,86908.000000
913.190685,0.094891,116884.000000,93943.000000
917.083931,0.095577,127518.000000,102328.000000
920.972825,0.096038,140036.000000,112254.000000
926.151245,0.095875,160442.000000,128660.000000
930.029983,0.094393,176924.000000,142362.000000
933.904368,0.088834,192482.000000,156876.000000
937.774400,0.086613,207019.000000,169589.000000
941.640080,0.083676,220214.000000,181622.000000
945.501407,0.081657,231781.000000,192053.000000
949.358382,0.078488,242385.000000,202310.000000
953.211004,0.077200,252506.000000,211384.000000
957.059273,0.076654,262404.000000,219946.000000
962.183529,0.075279,275634.000000,231768.000000
966.021642,0.075075,285310.000000,240017.000000
969.855403,0.074888,294814.000000,248119.000000
973.684811,0.074280,303951.000000,256167.000000
977.509867,0.074463,312634.000000,263374.000000
981.330570,0.074907,320588.000000,269799.000000
985.146920,0.074931,327227.000000,275371.000000
988.958918,0.075306,332863.000000,279872.000000
992.766563,0.075056,337748.000000,284143.000000
997.836653,0.074798,342296.000000,288140.000000
1001.634142,0.075748,344897.000000,289695.000000
1005.427279,0.076191,346533.000000,290773.000000
1009.216063,0.075842,347364.000000,291704.000000
1013.000494,0.076069,347610.000000,291758.000000
1016.780573,0.076110,347104.000000,291306.000000
1020.556299,0.076504,346356.000000,290415.000000
1024.327673,0.076752,345314.000000,289376.000000
1028.094694,0.076053,344068.000000,288796.000000
1033.110618,0.076282,342670.000000,287471.000000
1036.867483,0.075459,341443.000000,286985.000000
1040.619996,0.075271,340565.000000,286371.000000
1044.368155,0.075200,339602.000000,285608.000000
1048.111963,0.074982,339187.000000,285402.000000
1051.851417,0.074331,338370.000000,285142.000000
1055.586519,0.073808,337732.000000,284947.000000
1059.317269,0.073578,337270.000000,284708.000000
1063.043666,0.073387,337131.000000,284716.000000
1068.005424,0.073377,337198.000000,284779.000000
1071.721665,0.073309,337936.000000,285447.000000
1075.433553,0.073041,338814.000000,286365.000000
1079.141089,0.072993,339835.000000,287260.000000
1082.844272,0.072482,341087.000000,288658.000000
1086.543103,0.073565,342595.000000,289212.000000
1090.237580,0.072990,344242.000000,290987.000000
1093.927706,0.073094,346318.000000,292672.000000
1097.613478,0.072728,348067.000000,294398.000000
1102.521071,0.072629,350874.000000,296840.000000
1106.196688,0.072311,352530.000000,298459.000000
1109.867952,0.071862,354393.000000,300347.000000
1113.534864,0.072104,356181.000000,301694.000000
1117.197422,0.071116,357783.000000,303741.000000
1120.855629,0.071188,359117.000000,304823.000000
1124.509482,0.071583,360790.000000,305965.000000
1128.158984,0.070516,361832.000000,307603.000000
1131.804132,0.072110,363284.000000,307706.000000
1136.657559,0.073351,364834.000000,308137.000000
1140.292552,0.073770,365983.000000,308810.000000
1143.923192,0.075646,367533.000000,308781.000000
1147.549479,0.076631,368590.000000,308967.000000
1151.171414,0.078531,369591.000000,308454.000000
1154.788996,0.080739,370608.000000,307734.000000
1158.402225,0.081882,371792.000000,307906.000000
1162.011102,0.084194,373034.000000,307294.000000
1165.615627,0.086890,374075.000000,306245.000000
1170.414889,0.089414,375979.000000,306020.000000
1174.009257,0.092736,377809.000000,305166.000000
1177.599273,0.096153,379926.000000,304471.000000
1181.184936,0.099774,382215.000000,303762.000000
1184.766246,0.102846,385401.000000,304135.000000
1188.343204,0.107342,388776.000000,303639.000000
1191.915809,0.110322,392428.000000,304395.000000
1195.484062,0.115104,395791.000000,303642.000000
1199.047962,0.117831,399382.000000,304479.000000
1203.793059,0.120229,405070.000000,307115.000000
1207.346803,0.120759,409052.000000,309756.000000
1210.896194,0.119674,412904.000000,313455.000000
1214.441233,0.117535,416885.000000,318040.000000
1217.981920,0.114969,421320.000000,323328.000000
1221.518253,0.111639,425284.000000,328882.000000
1225.050234,0.108952,429183.000000,333957.000000
1228.577863,0.107383,433814.000000,338782.000000
1232.101139,0.106455,438565.000000,343225.000000
1236.792070,0.105743,444300.000000,348284.000000
1240.305190,0.105543,448060.000000,351393.000000
1243.813957,0.105708,452297.000000,354581.000000
1247.318372,0.106127,455893.000000,357056.000000
1250.818434,0.106662,459082.000000,359111.000000
1254.314143,0.107709,462510.000000,360921.000000
1257.805500,0.107765,466532.000000,364013.000000
1261.292505,0.108466,470752.000000,366713.000000
1264.775157,0.109445,474874.000000,369091.000000
1269.411922,0.109390,480696.000000,373663.000000
1272.884417,0.109614,486062.000000,377640.000000
1276.352561,0.109187,490790.000000,381688.000000
1279.816351,0.108386,494557.000000,385328.000000
1283.275789,0.108539,498768.000000,388472.000000
